genre,a,mu,mu MoE,r,null_a,null_mu,null_mu_MoE,null_r,null_r_moe
blues,6.526,0.52,0.041,0.651,47.182,0.008,0.002,0.038,0.005
classical,8.309,0.448,0.04,0.682,48.186,0.007,0.002,0.04,0.005
country,7.342,0.481,0.038,0.583,41.654,0.015,0.002,0.047,0.004
disco,7.048,0.495,0.038,0.606,40.842,0.015,0.002,0.045,0.004
hiphop,5.606,0.577,0.04,0.569,48.669,0.005,0.002,0.036,0.005
jazz,9.618,0.392,0.037,0.38,35.828,0.015,0.002,0.043,0.004
metal,7.979,0.449,0.037,0.497,37.827,0.017,0.002,0.047,0.004
pop,8.38,0.438,0.038,0.521,40.095,0.014,0.002,0.047,0.004
reggae,5.566,0.567,0.039,0.647,50.261,-0.001,0.002,0.043,0.005
rock,6.552,0.511,0.041,0.677,51.557,0.007,0.002,0.034,0.004
