Graph_ID,Num_Nodes,Num_Edges,Clustering_Coefficient,Largest_Component_avg_path_length,Largest Component Size,Number of Connected Components
blues,574,6000,0.4055392223961214,3.2282472255704726,491,76
classical,574,6000,0.4081062729403028,3.396951123683797,505,67
country,574,6000,0.4321388927573428,3.376511110615157,519,51
disco,574,6000,0.4161370327945609,3.2329841525651357,511,57
hiphop,574,6000,0.40992323117618484,3.2927905551967944,492,74
jazz,574,6000,0.41137618530588604,3.1312535973293425,511,60
metal,574,6000,0.4111815585097937,3.1631335282651074,513,57
null,574,6000,0.08038744648952566,2.4468487877515783,503,72
pop,574,6000,0.42110113730661003,3.3320958083832335,501,71
reggae,574,6000,0.4207902081681866,3.3256098330651014,504,64
rock,574,6000,0.39798534856979445,3.455956950402649,516,54
