Node1,Node2,Correlation
1,2,0.6081278769663647
1,3,0.742335847360835
1,8,0.6247976455463575
1,13,0.5582442956582322
1,19,0.5101441353011075
1,20,0.5784608011540092
1,24,0.5404328423107588
1,25,0.6023979364446614
1,26,0.5486751841445989
1,29,0.7268521121246699
1,84,0.6071278721180672
1,94,0.6092181761954529
1,95,0.6237171173506588
1,96,0.541657579293303
1,99,0.5824838051611076
1,105,0.5200323543224211
1,108,0.6393873854935949
1,112,0.5468188242214592
1,128,0.5009810305884279
1,153,0.5472370451006469
1,173,0.6760275217339925
1,181,0.5047307798690082
1,182,0.6107776904387855
1,185,0.572408496474412
1,207,0.5510653143576426
1,210,0.5144918329464591
1,227,0.7001771086068264
1,230,0.7672438998449478
1,272,0.5152424002685887
1,273,0.6773226765364929
1,274,0.563821800597384
1,276,0.5685745540764849
1,277,0.5742130311405406
1,282,0.521236666797757
1,283,0.5461462602535309
1,285,0.5419542203176623
1,286,0.7431932406630951
1,287,0.6347672976214513
1,288,0.6538835097490237
1,291,0.6526227394579512
1,298,0.5068639384110651
1,299,0.5811701173714985
1,303,0.5610966619164155
1,306,0.7144342371351227
1,307,0.6801189030528999
1,308,0.5042739928344142
1,310,0.6849862695662224
1,311,0.5365376562002289
1,313,0.6298016491840434
1,322,0.5891342615692822
1,323,0.5472756342881144
1,326,0.5124841769658218
1,357,0.5020861322987132
1,375,0.6360753584155178
1,386,0.5661395508446282
1,390,0.50313607934069
1,391,0.6582100864539702
1,392,0.6639999138939056
1,393,0.6011758818799495
1,395,0.6343422918452492
1,396,0.5322939219198258
1,398,0.6585073515426326
1,403,0.5534251875471864
1,404,0.6554322269949314
1,405,0.611787683803675
1,413,0.5902768065313316
1,414,0.6202087967155953
1,416,0.6621768989693397
1,417,0.5264243143231678
1,418,0.5480051982167091
1,420,0.515692611142411
1,421,0.5219443905901167
1,430,0.5411453304553935
1,439,0.5052592860056709
1,465,0.5925057843805985
1,467,0.6459159637926923
1,472,0.534434975010642
1,474,0.5659967787416714
1,476,0.59441847522666
1,478,0.5918775011952814
1,479,0.6842366644325432
1,481,0.5134799543314178
1,491,0.5086742103782986
1,508,0.6039925407064185
1,518,0.6350774887747597
1,519,0.63970983271777
1,521,0.5036348555403742
1,533,0.5151725693900076
1,535,0.6356688477631858
1,552,0.5719191126512453
1,566,0.6696040650283579
1,570,0.5895832414633627
1,571,0.5265209627909051
1,573,0.533347188888978
1,574,0.6378829566751401
2,3,0.5359191420125431
2,88,0.6262867940324334
2,173,0.5869571242631899
2,237,0.5142803366608409
2,393,0.5210496791693364
3,8,0.8143503786598046
3,10,0.6501280268551001
3,15,0.5020648700234067
3,19,0.6583340963878639
3,24,0.6170317558110716
3,26,0.5903502860631422
3,29,0.6894402981904235
3,39,0.5317447347518329
3,84,0.6426704008490449
3,95,0.7316059727915004
3,96,0.6754082408494381
3,99,0.6448843621219714
3,101,0.5944066761926113
3,105,0.6059736697218908
3,108,0.621871975448915
3,110,0.5934279448459853
3,112,0.6268571637620138
3,128,0.5723167950524455
3,181,0.5093180954902599
3,182,0.7059075100786447
3,185,0.6089689839179455
3,207,0.5341492704560968
3,208,0.5417500432144642
3,210,0.5534871373089021
3,221,0.5096543081315695
3,226,0.5171056185503377
3,227,0.5079027541337349
3,230,0.6601561443223315
3,231,0.535186403040318
3,235,0.5684704087322474
3,237,0.5574000939629065
3,272,0.6260165569061967
3,273,0.5274156598648355
3,274,0.6095727369894974
3,276,0.6156635475411056
3,277,0.5437908485840971
3,279,0.5239176947321742
3,282,0.5749299767052762
3,283,0.5410415725248572
3,285,0.5125511897460864
3,286,0.5822250172315351
3,291,0.6786203722787588
3,297,0.5353516703523363
3,299,0.6321569615794551
3,302,0.6266867350344557
3,303,0.6922452707527881
3,306,0.5481653994776243
3,310,0.5154685612946772
3,313,0.7377582552071034
3,322,0.551465313659391
3,323,0.6530996749770731
3,326,0.5612146439133833
3,330,0.506158682320315
3,375,0.6707111450168496
3,383,0.5058459363773979
3,386,0.5050621569464919
3,389,0.5043494425944365
3,391,0.726373435191249
3,392,0.7192707972739152
3,393,0.7182604752428262
3,395,0.673391546878926
3,396,0.6863782502866521
3,398,0.6642255053599748
3,403,0.6414875683302068
3,404,0.679389109046271
3,405,0.6424195398923929
3,414,0.5333515136363536
3,416,0.6796813430684762
3,417,0.5904440468078911
3,420,0.5126182181602555
3,428,0.5384633772792936
3,467,0.7162242439972837
3,474,0.5249697485183122
3,476,0.5738096647069509
3,478,0.5658035756607634
3,479,0.667840374700102
3,491,0.5455677117352112
3,504,0.5226645846888287
3,508,0.7162820774942468
3,514,0.5619272836002426
3,519,0.5814523050415566
3,533,0.5884055739357953
3,535,0.6133925662311905
3,552,0.6263439044550042
3,559,0.5419883821027595
3,566,0.7563714519286807
3,570,0.6454088449536146
3,571,0.5743528894111585
3,574,0.7491729834908333
4,289,0.5307422322015836
5,8,0.5525221407555482
5,11,0.881774694140086
5,28,0.6393718634031692
5,30,0.5116117813198758
5,31,0.6817637373030847
5,83,0.6438340545390854
5,85,0.5678559119252727
5,89,0.649395280683049
5,106,0.5258194143243149
5,107,0.604848699888408
5,113,0.5242646303229144
5,147,0.501948294947447
5,164,0.5355162160033758
5,167,0.5157463768072491
5,169,0.5035624187857973
5,179,0.5802518260520124
5,206,0.5528626239273589
5,216,0.5135049009518637
5,217,0.5847623437433871
5,221,0.5771074372711716
5,238,0.5332859521828752
5,291,0.5397536138218919
5,297,0.7696774509007015
5,462,0.7012817017064558
5,463,0.7103030227925117
5,466,0.522554844586484
5,509,0.5177009916259134
5,569,0.5292883727878437
8,10,0.5635966365186247
8,11,0.6581879514887894
8,13,0.5529696147603682
8,15,0.6158926489747756
8,17,0.6383475312961324
8,19,0.7700145870248005
8,24,0.5178819832153267
8,26,0.6223611835281969
8,29,0.5224786729332578
8,39,0.572113124853193
8,84,0.5641916821752777
8,95,0.5688288264851795
8,103,0.5070763966697336
8,107,0.5971671993866864
8,112,0.6533459495609756
8,113,0.5356165058734094
8,122,0.5413555079550608
8,128,0.5290837949569329
8,182,0.5324746717539376
8,191,0.5041593128370401
8,207,0.5703378866328069
8,208,0.5807437691799646
8,221,0.5640098672700488
8,223,0.5105593482783193
8,245,0.5642623464429016
8,272,0.5148092405205443
8,274,0.5413858962684703
8,280,0.5434721797574411
8,281,0.5557335957359195
8,282,0.548662687050193
8,285,0.5505450169081766
8,286,0.5931106168468844
8,288,0.5142911641570498
8,291,0.7648003907321427
8,297,0.7039280529019779
8,298,0.5472972876619172
8,299,0.6007403926871766
8,302,0.8077823866241554
8,303,0.8021719793449522
8,304,0.7393832462522082
8,313,0.6268846660772949
8,322,0.542120338587212
8,323,0.5817236811794828
8,326,0.5794835203042058
8,330,0.5306263852352389
8,375,0.5924174416965368
8,389,0.5040260133192588
8,391,0.6341755301995962
8,392,0.5714623240028317
8,393,0.6319387003702458
8,395,0.5899645326964291
8,396,0.6990618490847281
8,398,0.5912115634600182
8,399,0.5421639278030594
8,400,0.5910829767024365
8,404,0.6094591297953634
8,405,0.5569866675940771
8,416,0.6114716615094199
8,417,0.5333671907700565
8,420,0.51094619988083
8,428,0.5298407584609429
8,467,0.6221274758466715
8,468,0.6289121903347403
8,476,0.5149297073614028
8,478,0.5150419726079806
8,479,0.5435387905706247
8,491,0.5517841171485454
8,504,0.5214469585406842
8,508,0.6961637890994454
8,514,0.5645530927400877
8,519,0.5077190105284104
8,533,0.7123914477917838
8,535,0.5979736669447776
8,552,0.5860962145349494
8,559,0.5344768198388767
8,563,0.5610657013873421
8,564,0.5404072996259807
8,566,0.6154427273514527
8,570,0.6140203723634015
8,571,0.5487924335710959
8,573,0.5635986515109632
8,574,0.6470791445257248
9,311,0.5397403755841186
10,13,0.5024653171445534
10,14,0.5280113714174658
10,19,0.5034052693764054
10,23,0.5340149834921322
10,24,0.5279108821229387
10,26,0.5386842008962508
10,29,0.5292904260367354
10,34,0.6065883444046372
10,39,0.58360160771341
10,43,0.5732617514263999
10,44,0.5225591093638995
10,84,0.6150970381871883
10,88,0.5275222795358745
10,95,0.6545306603490371
10,96,0.5650261793926282
10,99,0.6955606996616653
10,105,0.5949081560072258
10,108,0.6909617607525934
10,110,0.676827768481779
10,111,0.5827702962356778
10,115,0.5114754416367194
10,122,0.5672567795805342
10,128,0.5350121261122858
10,154,0.5813255928489888
10,173,0.5036824845050241
10,182,0.694150423756239
10,185,0.6988950840060997
10,210,0.5614326123124113
10,235,0.5451896987069138
10,249,0.5283238908849847
10,252,0.5594998076386128
10,261,0.5076621266410503
10,272,0.7675325139116033
10,274,0.6835768679292238
10,276,0.6603828596475214
10,277,0.6005816213703555
10,281,0.5705762355684709
10,283,0.6246695478234349
10,285,0.5176749813725603
10,299,0.697439238843126
10,302,0.5382672464576653
10,303,0.594149338835324
10,313,0.6658660714130082
10,318,0.542160806669821
10,323,0.7441137725377237
10,326,0.6274277089142098
10,330,0.635563307585735
10,331,0.6557451125651784
10,350,0.5733642254091967
10,375,0.5712683636810768
10,383,0.5375188920448378
10,391,0.5937320403698509
10,392,0.6610317741909507
10,393,0.6717781669595508
10,395,0.6080543796168368
10,396,0.6665209143958424
10,398,0.5258050055574779
10,399,0.5477421178786308
10,400,0.5128938644930362
10,403,0.7051597675493034
10,404,0.5757324974995874
10,405,0.5643209958600293
10,417,0.5263606516736066
10,428,0.6375079966855641
10,467,0.6697433981741108
10,479,0.5568702336005813
10,491,0.5458312406744095
10,501,0.5034624461385179
10,504,0.5763814400413991
10,508,0.6208781462330987
10,517,0.54754315391004
10,547,0.5471111979558554
10,548,0.5494777978493484
10,552,0.54153489879682
10,559,0.5757907551376541
10,564,0.5016400690948244
10,565,0.5769057413829192
10,566,0.6864905993710502
10,570,0.577130033046617
10,571,0.5882344046660971
10,573,0.5481311815606305
10,574,0.71479346692118
11,15,0.5014849987316435
11,19,0.5645671232533821
11,28,0.7698053298096447
11,30,0.6237478636365792
11,31,0.7424279491927672
11,42,0.5457826199014558
11,83,0.5661941833782393
11,85,0.5562437053619602
11,89,0.675158822338822
11,101,0.5169652257646566
11,103,0.5610865072531407
11,106,0.6210519173680096
11,107,0.7185083241786526
11,113,0.6477194651856236
11,147,0.5490728352456504
11,179,0.6280437849741224
11,206,0.6023197993859438
11,217,0.6272823864362218
11,221,0.5822222492857877
11,229,0.5100307055689103
11,238,0.5149496378055749
11,280,0.5156888871583385
11,291,0.5887948052557903
11,297,0.8056747291300945
11,302,0.5726106138832249
11,304,0.6202213155962611
11,382,0.5359848614462254
11,399,0.5517864628303975
11,400,0.6394069822474682
11,462,0.6478593945049682
11,463,0.6973904946780484
11,466,0.5504650569607594
11,509,0.6055043066506292
11,533,0.5722777434379719
11,569,0.5646133739951826
12,234,0.503640652391152
13,19,0.5242420223693994
13,20,0.6213947756818119
13,22,0.6915372473808192
13,25,0.6894782772030111
13,26,0.7112787293763689
13,37,0.6218813072890057
13,39,0.5982176106301416
13,40,0.5017733478028402
13,49,0.5017019225751027
13,50,0.6052753108479381
13,52,0.5828282579031361
13,55,0.5689391955554335
13,68,0.5261682130817665
13,71,0.5513934787545789
13,79,0.5225356548970965
13,81,0.5554053157103804
13,125,0.5732517677973031
13,133,0.5561017716541337
13,151,0.5501447204235167
13,153,0.547569313971095
13,186,0.5758542065330149
13,265,0.5595968681879343
13,268,0.5395952499271625
13,269,0.5989365893106792
13,270,0.6911645993196762
13,271,0.7663864309734071
13,272,0.5865410263417966
13,273,0.5614627303681943
13,274,0.6559264849433525
13,275,0.6782268215311783
13,277,0.6236475203483396
13,283,0.5535757625422417
13,284,0.5845988455734757
13,285,0.7454299584958369
13,286,0.6325716339522006
13,299,0.7737767009440574
13,303,0.5432330109704601
13,306,0.5057326688191062
13,307,0.680737201615551
13,310,0.5585290847821747
13,322,0.5474446596269793
13,323,0.5418304410498586
13,324,0.5316793034631477
13,326,0.5969332582863507
13,327,0.5074597885422568
13,330,0.5365168367224512
13,340,0.5002183606028128
13,347,0.5247501180966717
13,353,0.6201959176077777
13,354,0.6133607852084096
13,357,0.5436176636961478
13,360,0.6239081357056625
13,361,0.5371689501768262
13,372,0.55140398588372
13,386,0.539678897979911
13,390,0.5176654670148305
13,395,0.5159623544152103
13,397,0.5448452318205556
13,398,0.6131669681085149
13,404,0.5290042988046239
13,410,0.5779533858119574
13,414,0.5035068666306356
13,418,0.5582181864405024
13,428,0.7415374357974205
13,432,0.5259289303367721
13,434,0.527047265363081
13,439,0.58887075990342
13,449,0.5105829270051839
13,491,0.5057586107806358
13,504,0.510324034629654
13,505,0.5581747425112069
13,510,0.5074383129830412
13,532,0.6830242235065891
13,535,0.5013595444756983
13,553,0.5758142523505455
13,558,0.5460885821770498
13,559,0.5854937323521483
13,561,0.5318732990554026
13,562,0.6404527442114613
13,563,0.6546922492203591
13,564,0.7512515385656847
13,565,0.5607045969202866
13,566,0.518592945845733
13,567,0.6812439173228247
13,568,0.5422095129348671
13,571,0.6758158378238865
13,573,0.7172552437461646
14,21,0.6056657164002959
14,93,0.5477532698914875
14,99,0.5939781684424853
14,110,0.6294736300192845
14,111,0.6449304271416131
14,173,0.6025217242274189
14,182,0.5884257454977658
14,185,0.6255390654280378
14,227,0.5029006077277923
14,249,0.60723827290029
14,252,0.5683383792201894
14,276,0.5332901473777334
14,311,0.6122058592916042
14,318,0.6011380456900973
14,381,0.502553996506619
14,402,0.6658379733430757
14,403,0.5720232089332512
14,516,0.5208515337262926
14,520,0.5238072764585454
14,521,0.5255466581138746
14,523,0.5088089572064339
14,524,0.6179363166320346
14,538,0.5697560904366004
14,546,0.6051662730223916
14,547,0.617433316353411
14,548,0.5424125459775097
14,549,0.5148490213051364
14,566,0.526162571225566
15,19,0.5451741115114535
15,20,0.5808302050150179
15,25,0.550453669793211
15,26,0.5357693258318705
15,29,0.540243222634059
15,223,0.5712892787056946
15,268,0.5835420262874733
15,285,0.514009438585063
15,286,0.5246584951857997
15,291,0.5323249712152169
15,302,0.5277494661174131
15,303,0.5744460824370523
15,304,0.56870029354544
15,306,0.5380055328422655
15,307,0.5610217070009207
15,313,0.5036202429295374
15,322,0.6727839567346638
15,375,0.5240714928590698
15,398,0.545332791649849
15,405,0.5162309133997625
15,414,0.503461274138644
15,416,0.5072906013465396
15,479,0.5032277575881111
15,508,0.5326687352242132
15,533,0.5699746579569327
15,535,0.6641834157728477
15,570,0.6381829544255704
15,574,0.5206788538272256
16,95,0.504323162558952
16,99,0.5070438067303203
16,235,0.5064801639648945
16,467,0.5122939025685092
16,508,0.5102008138328792
16,574,0.5187013604447339
17,19,0.7721229445926989
17,26,0.5332112402668192
17,39,0.6330425992242702
17,208,0.5462366040967247
17,268,0.7361471510561886
17,270,0.541493166718017
17,281,0.5039147729952796
17,302,0.7659527905745448
17,303,0.5328339037005565
17,304,0.7067149686559573
17,398,0.5631415448820795
17,561,0.5569261514026641
17,563,0.6158190867769623
17,564,0.5883322913834671
