Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,-14.951325505136328,0.08027923211169284,0.0012472985972352896,0.06621198021328871,0.28861256544502617
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,-17.159936760338734,0.005235602094240838,0.0,0.003939774808742483,0.23567724642400864
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,-10.283588881052816,0.08726003490401396,0.0037008584630258555,0.06988369401165541,0.32644248933988235
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,-16.019288191112917,0.0,0.0,4.716199605054849e-27,0.0
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,-9.040379783276144,0.06631762652705062,0.010249706761394663,0.00020756658819672474,0.3019815398661855
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,-9.434564102792812,0.0017452006980802793,0.0,0.001249395501784974,0.23258599188014703
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,-9.508002667998277,0.0,0.0,4.716199605054849e-27,0.0
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,-7.617111413259501,0.04712041884816754,0.024174228297359643,0.01674098656924243,0.34823951337278886
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,-6.07261795439382,0.0,0.0,4.716199605054849e-27,0.0
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,-10.956274038363318,0.08027923211169284,0.007568048184396347,0.051425087244671173,0.29772256583180673
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,-3.850471242978159,0.08202443280977313,0.047664374914040776,0.0005615492494972623,0.32716524023878985
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,-4.926925785677589,0.0,0.0,4.716199605054849e-27,0.0
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,-5.040219351461133,0.06980802792321117,0.0044964481000581815,0.04589645863573596,0.3247684252919855
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,4.617957248606466,0.05759162303664921,0.004095999643397269,0.054867576408709755,0.26867206092336987
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,3.311666794729476,0.04712041884816754,0.02715628321276298,0.017286658049415746,0.3300885335246167
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.25887535512446,-70.33466412094624,4.373678718410112,0.0017452006980802793,0.0,0.00027452705981921403,0.24014566658914424
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.8407680270005784,0.017452006980802792,0.00019013749239034136,0.005696151367669792,0.26277943125285136
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,3.787149524937078,0.0,0.0,4.716199605054849e-27,0.0
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.94896369454701,2.033492100084338,0.029668411867364748,0.0015185688123964733,0.011528971523412075,0.29692491662663106
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,8.505568971830819,0.06282722513089005,0.0018747248816702777,0.04107251034207717,0.29792264820131736
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,13.999918275597423,0.0034904013961605585,2.957520422717575e-05,5.830920051830336e-05,0.18626424391746227
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,7.686497854878716,0.09075043630017453,0.011252000995029926,0.07091036640642628,0.2971239279648527
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,17.519117863095822,0.006980802792321117,0.0019891103481599155,0.0028273380304428817,0.22606267237305466
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,14.103267398197204,0.020942408376963352,7.748698848175288e-07,0.021491866013629846,0.25059858706815163
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,16.381487851250256,0.10296684118673648,0.002628783082488475,0.07873078586883077,0.30892606308262033
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,17.117907884446055,0.04886561954624782,0.0027789267828124105,0.034388247982998194,0.31778415808140514
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,23.682699170495795,0.0,0.0,4.716199605054849e-27,0.0
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,20.90716652971294,0.006980802792321117,0.000596430914588586,7.191883515741637e-05,0.2584891548242334
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.60868853333274,-74.19501421015177,24.148720730787943,0.15357766143106458,0.005599656779352496,0.12993781261670434,0.3100062241423498
