Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,-14.951325505136328,0.04886561954624782,0.0019248987885517282,0.03609056941164296,0.2963792608301854
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,-17.159936760338734,0.0034904013961605585,0.0,0.0022396791500395165,0.23806773366125716
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,-10.283588881052816,0.11518324607329843,0.004070801363073897,0.11468915724645924,0.34255978940138465
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,-16.019288191112917,0.0034904013961605585,0.0,9.489961446125665e-22,0.003926701570680629
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,-9.040379783276144,0.029668411867364748,0.008854929736404523,0.0011896034483785095,0.2973201473725034
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,-9.434564102792812,0.0,0.0,9.001154131083348e-30,0.0
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,-9.508002667998277,0.0,0.0,9.001154131083348e-30,0.0
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,-7.617111413259501,0.05235602094240838,0.021582165685173665,0.0218067605485704,0.33982527729440704
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,-6.07261795439382,0.0,0.0,9.001154131083348e-30,0.0
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,-10.956274038363318,0.10645724258289703,0.005549004529395248,0.10032201857828411,0.3311734314792736
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,-3.850471242978159,0.03664921465968587,0.021264059355026677,0.0036469601747574905,0.31986286346427106
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,-4.926925785677589,0.0,0.0,9.001154131083348e-30,0.0
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,-5.040219351461133,0.06631762652705062,0.004117655438810277,0.041676009289653676,0.3304722880110747
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,4.617957248606466,0.015706806282722512,0.005199544251936313,0.009850309545491605,0.25715498743091314
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,3.311666794729476,0.04013961605584642,0.006818517579898252,0.023224337538377843,0.31576482273209233
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.25887535512446,-70.33466412094624,4.373678718410112,0.008726003490401396,6.1308626274530535e-06,0.007937922490210853,0.28363369600950505
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.8407680270005784,0.038394415357766144,0.0011206784717104432,0.03451805332972621,0.30056433383292225
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,3.787149524937078,0.0,0.0,9.001154131083348e-30,0.0
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.94896369454701,2.033492100084338,0.09773123909249563,0.01616098548787808,0.07728024729984775,0.35910984057645157
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,8.505568971830819,0.0506108202443281,0.0013558472406959494,0.022422909862828383,0.28959754614204875
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,13.999918275597423,0.0017452006980802793,0.0,6.249834818000475e-05,0.20158382785694914
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,7.686497854878716,0.041884816753926704,0.006999895342120818,0.01568377397799683,0.2860593965251636
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,17.519117863095822,0.006980802792321117,0.003156289119692334,0.0034375043545538143,0.25929082619695065
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,14.103267398197204,0.08027923211169284,0.0002424334410742302,0.09403263993210735,0.30546590483476377
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,16.381487851250256,0.06457242582897034,0.004505042604111873,0.03719644994706293,0.30407742344915123
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,17.117907884446055,0.09075043630017453,0.006346604200650002,0.0721555991254624,0.33859669711619156
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,23.682699170495795,0.0,0.0,9.001154131083348e-30,0.0
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,20.90716652971294,0.010471204188481676,0.0031547858772989663,0.0001684200837094322,0.25380988190335657
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.60868853333274,-74.19501421015177,24.148720730787943,0.11169284467713787,0.003871806362857205,0.09753005999267851,0.32095903503200335
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-25.24382139625959,-75.4110830067657,23.974533945554867,0.0017452006980802793,0.0,3.0631177185504715e-06,0.19825539039445084
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-13.687926555182344,-76.716895988341,35.198602786850785,0.017452006980802792,0.0034215563776027053,4.130450091469387e-05,0.2412566883625414
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,-53.50563101175291,0.0599962518437138,-3.4940602258736817,0.020942408376963352,0.007791615877858031,1.7980733117770793e-05,0.23879614080147518
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-58.11317137737953,-14.814716531890774,5.868688169554915,0.013961605584642234,0.0024204859951500925,2.2830980394306777e-06,0.2088667404601663
