Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,-14.951325505136328,0.04886561954624782,0.012076001176504812,0.01277521538290348,0.3315753846389194
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,-17.159936760338734,0.008726003490401396,0.00029858842820146183,0.0009224240735470655,0.2564557635992546
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,-10.283588881052816,0.06631762652705062,0.016910693763680644,0.01938089394862929,0.3634321069420982
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,-16.019288191112917,0.0017452006980802793,0.0,2.811484329839998e-94,0.0031413612565445027
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,-9.040379783276144,0.0924956369982548,0.00727045129807719,0.012145690273924462,0.3451914080385404
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,-9.434564102792812,0.0,0.0,1.3323129615982461e-134,0.0
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,-9.508002667998277,0.0,0.0,1.3323129615982461e-134,0.0
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,-7.617111413259501,0.08027923211169284,0.012061346224627465,0.011993325619845585,0.35968835306710034
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,-6.07261795439382,0.0,0.0,1.3323129615982461e-134,0.0
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,-10.956274038363318,0.027923211169284468,0.0007846447415143101,0.014524639544775907,0.30505826718459716
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,-3.850471242978159,0.10296684118673648,0.012061491648750387,0.014303117063471543,0.3491743858236005
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,-4.926925785677589,0.0,0.0,1.3323129615982461e-134,0.0
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,-5.040219351461133,0.04013961605584642,0.0038546551611001825,0.006583372281319972,0.32284971662210576
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,4.617957248606466,0.006980802792321117,0.0031120938410160053,0.0018349087184479117,0.21054114173037136
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,3.311666794729476,0.020942408376963352,0.0019878356029581334,0.010478599637561864,0.32400192831597474
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.25887535512446,-70.33466412094624,4.373678718410112,0.0,0.0,1.3323129615982461e-134,0.0
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.8407680270005784,0.015706806282722512,0.0001373064533893967,0.0019600432420003866,0.28477208379591007
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,3.787149524937078,0.0,0.0,1.3323129615982461e-134,0.0
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.94896369454701,2.033492100084338,0.03315881326352531,0.0030514366924002238,0.004565416408001364,0.31944173228056344
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,8.505568971830819,0.031413612565445025,0.0020990613570164075,0.009170722737858761,0.2906060829517802
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,13.999918275597423,0.0034904013961605585,3.350325072361694e-05,5.664556635728535e-05,0.17391827646386232
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,7.686497854878716,0.034904013961605584,0.007429332821223922,0.004892090900530463,0.2953329222971247
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,17.519117863095822,0.0034904013961605585,7.528086491336953e-05,5.756086475680905e-05,0.17628221420220608
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,14.103267398197204,0.012216404886561954,0.000642666016527377,0.011027158993421137,0.27644744310029273
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,16.381487851250256,0.031413612565445025,0.0017976688573809656,0.009964483908818161,0.28124330952334614
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,17.117907884446055,0.031413612565445025,0.0009224619098914935,0.004194512409850476,0.30816476685042815
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,23.682699170495795,0.0017452006980802793,0.0,0.0002786389715913969,0.21960653196452862
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,20.90716652971294,0.006980802792321117,0.0006703678462420205,0.0016414875508722997,0.28246838927858164
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.60868853333274,-74.19501421015177,24.148720730787943,0.06631762652705062,0.004772995941269232,0.07471821534136197,0.2974617965731852
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-25.24382139625959,-75.4110830067657,23.974533945554867,0.031413612565445025,0.0018851486936923517,0.03771092709512289,0.2928559364972133
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-13.687926555182344,-76.716895988341,35.198602786850785,0.029668411867364748,0.0003300456454574403,0.0033621336410113154,0.28299669673982586
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,-53.50563101175291,0.0599962518437138,-3.4940602258736817,0.08027923211169284,0.00673339580122919,0.008114436942488215,0.31809859955899134
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-58.11317137737953,-14.814716531890774,5.868688169554915,0.031413612565445025,0.009417762063134442,0.0016620550900667416,0.28967881402085555
34,7Networks_LH_SomMot_3,7Networks,LH,SomMot,3,-42.93124349803733,-19.389491932920933,3.3533213062484464,0.0017452006980802793,0.0,0.00047265494339000455,0.2516223401167853
35,7Networks_LH_SomMot_4,7Networks,LH,SomMot,4,-60.11431315472214,-24.95677154413084,9.374658421045403,0.03315881326352531,0.0018762346275019337,0.0020247111841487776,0.2828203748103929
36,7Networks_LH_SomMot_5,7Networks,LH,SomMot,5,-62.63136623164925,-34.63597309215108,6.836208978641622,0.013961605584642234,0.0005494505627403315,0.0006842788603996003,0.27197525558458996
37,7Networks_LH_SomMot_6,7Networks,LH,SomMot,6,-45.85676398288393,-25.62106247834469,7.116980146943476,0.022687609075043632,0.0040126319006183395,0.001699100749907055,0.29023446391987257
38,7Networks_LH_SomMot_7,7Networks,LH,SomMot,7,-36.23862536517636,-12.084997209815356,12.924177537235067,0.0017452006980802793,0.0,6.319431979590497e-06,0.19490197577100932
39,7Networks_LH_SomMot_8,7Networks,LH,SomMot,8,-34.681706958722614,-25.117930897000512,12.804337318929342,0.04886561954624782,0.008719402276253304,0.014272356828699246,0.3313333588107158
40,7Networks_LH_SomMot_9,7Networks,LH,SomMot,9,-43.3329212100092,-3.867150064057384,13.453046629900363,0.0,0.0,1.3323129615982461e-134,0.0
41,7Networks_LH_SomMot_10,7Networks,LH,SomMot,10,-39.85675538573221,-13.31806397199938,17.750479200720477,0.0017452006980802793,0.0,1.2176326490428334e-06,0.1626394487892084
42,7Networks_LH_SomMot_11,7Networks,LH,SomMot,11,-58.25094903600984,-36.77517483668635,15.320604661799734,0.045375218150087264,0.006724549527285995,0.00485238979272084,0.31348529113997287
43,7Networks_LH_SomMot_12,7Networks,LH,SomMot,12,-40.94175139461902,-35.0574966356396,14.861894334824951,0.008726003490401396,0.006212183600575886,0.00221056312230222,0.25573335299756655
44,7Networks_LH_SomMot_13,7Networks,LH,SomMot,13,-38.02614526327537,-25.53850434973188,19.64502053516715,0.0034904013961605585,0.003105969074555462,5.18954283903736e-05,0.19891617071458398
45,7Networks_LH_SomMot_14,7Networks,LH,SomMot,14,-51.19383481762759,-13.378690642409213,13.838255623164706,0.008726003490401396,0.0005900418968565657,0.0005711921102201767,0.2807215223071618
46,7Networks_LH_SomMot_15,7Networks,LH,SomMot,15,-58.84259728425923,1.2076340635516232,12.351409745079522,0.027923211169284468,0.0006840895386184698,0.004232649787391991,0.30362990071617435
47,7Networks_LH_SomMot_16,7Networks,LH,SomMot,16,-61.715471813069286,-7.392652066441258,11.085877513831797,0.06980802792321117,0.008993299039001647,0.0067437683950070226,0.33749197142801535
48,7Networks_LH_SomMot_17,7Networks,LH,SomMot,17,-47.91049349365014,-25.646590728984503,17.283088451526204,0.04363001745200698,0.005437380227136818,0.012359057046702019,0.32492963605632114
49,7Networks_LH_SomMot_18,7Networks,LH,SomMot,18,-60.77488605294593,-17.982055469777656,19.543583212288866,0.013961605584642234,0.00022413900098594152,0.001040483116568405,0.2851298376700256
50,7Networks_LH_SomMot_19,7Networks,LH,SomMot,19,-59.28309575544441,-3.5016854428788093,19.720027243704905,0.041884816753926704,0.003601788320896283,0.003898104991840351,0.321933830901192
51,7Networks_LH_SomMot_20,7Networks,LH,SomMot,20,-63.84509245929033,-9.88425965749353,26.10966905732532,0.019197207678883072,0.0008040952320565163,0.001475610506138484,0.29399397770121805
52,7Networks_LH_SomMot_21,7Networks,LH,SomMot,21,-55.22076715478349,-9.335683729783028,31.691469204672813,0.029668411867364748,0.0020215936902364695,0.005626184159154277,0.30444446785424595
53,7Networks_LH_SomMot_22,7Networks,LH,SomMot,22,-53.45697393464059,-4.06940361533475,33.53988873318809,0.022687609075043632,0.0017140980213849447,0.0033992025698861617,0.2842371331062496
54,7Networks_LH_SomMot_23,7Networks,LH,SomMot,23,-57.55928873841961,-15.04738494434526,39.90534192554298,0.034904013961605584,0.0006990713841471499,0.0038439922062159454,0.30567454651224285
55,7Networks_LH_SomMot_24,7Networks,LH,SomMot,24,-49.934586239919554,-15.220464560720655,40.67324815051896,0.008726003490401396,0.00025859960885829666,0.0010722583883623806,0.26670193981826124
56,7Networks_LH_SomMot_25,7Networks,LH,SomMot,25,-55.37845181896319,-20.50767875114432,46.92897930697768,0.015706806282722512,0.0004861133103700198,0.0009467387736174373,0.2766159058931631
57,7Networks_LH_SomMot_26,7Networks,LH,SomMot,26,-7.553707777820279,-8.345986633023017,41.331582422184496,0.0,0.0,1.3323129615982461e-134,0.0
58,7Networks_LH_SomMot_27,7Networks,LH,SomMot,27,-51.63516991212964,-3.749993004258087,47.46624214027142,0.08202443280977313,0.01025295782405199,0.012728971710977293,0.35133645632405625
59,7Networks_LH_SomMot_28,7Networks,LH,SomMot,28,-41.658334465091485,-17.32679512971137,39.05891143234379,0.0,0.0,1.3323129615982461e-134,0.0
60,7Networks_LH_SomMot_29,7Networks,LH,SomMot,29,-47.37449258858746,-17.514802201068335,51.91519264649739,0.10820244328097732,0.010230887244706275,0.013134692019599494,0.348103298750522
61,7Networks_LH_SomMot_30,7Networks,LH,SomMot,30,-50.756283802816114,-26.61764946737541,54.34701075125486,0.03664921465968587,0.0035474509031981423,0.0026131053800495527,0.30322424954621285
62,7Networks_LH_SomMot_31,7Networks,LH,SomMot,31,-41.43955111995871,-13.325473226429452,49.63622271424779,0.04886561954624782,0.012496486237715692,0.009700350642857227,0.34310408281986443
63,7Networks_LH_SomMot_32,7Networks,LH,SomMot,32,-6.068687679590525,-14.928378748567134,49.23834609477589,0.0924956369982548,0.004371431626328184,0.010896904047886425,0.3277449108813579
64,7Networks_LH_SomMot_33,7Networks,LH,SomMot,33,-44.70943361863255,-23.050140291091893,63.01366575837376,0.029668411867364748,0.0014993402799062137,0.0030587869107000236,0.2953329222971247
65,7Networks_LH_SomMot_34,7Networks,LH,SomMot,34,-39.68108077558267,-24.602939075798588,52.23200246708189,0.006980802792321117,0.0035846705170388795,0.00026928688635850253,0.24941027558828607
66,7Networks_LH_SomMot_35,7Networks,LH,SomMot,35,-40.57082986738101,-35.44087287052426,62.66861974522472,0.013961605584642234,0.000214620271277344,0.012827794731317645,0.2512045941176982
67,7Networks_LH_SomMot_36,7Networks,LH,SomMot,36,-35.710831709315656,-45.64802552326856,61.96426024055109,0.012216404886561954,0.00044330737404351615,0.003596113798715906,0.26072757126403256
68,7Networks_LH_SomMot_37,7Networks,LH,SomMot,37,-34.30187929575921,-18.27015764961948,62.75649081533061,0.06457242582897034,0.006656273879852732,0.008129059710632745,0.3340152329438415
69,7Networks_LH_SomMot_38,7Networks,LH,SomMot,38,-4.0910232282405445,-8.021132327896055,60.39850659981511,0.0506108202443281,0.0015169775803063744,0.006094899414768763,0.3169879200912574
70,7Networks_LH_SomMot_39,7Networks,LH,SomMot,39,-8.489526913091538,-40.87481476262212,57.29144114658237,0.038394415357766144,0.000521979329679377,0.004135532691493874,0.3079556998444238
71,7Networks_LH_SomMot_40,7Networks,LH,SomMot,40,-3.907903283451717,-25.84363784526208,57.972329085501386,0.05759162303664921,0.002128396727941689,0.006208622189452726,0.3174312598396368
72,7Networks_LH_SomMot_41,7Networks,LH,SomMot,41,-29.24705897742196,-11.00501704992432,62.72299852265338,0.04013961605584642,0.002479016425263213,0.005125894019160694,0.31090869970594565
73,7Networks_LH_SomMot_42,7Networks,LH,SomMot,42,-27.45696659786981,-39.97544814231275,58.94188329200202,0.006980802792321117,7.595302914514707e-05,0.001755587431893067,0.2505114247078811
74,7Networks_LH_SomMot_43,7Networks,LH,SomMot,43,-31.439713709748816,-28.79620827598754,61.90361096248806,0.027923211169284468,0.004836503860859668,0.002799983932714026,0.2962968025918281
75,7Networks_LH_SomMot_44,7Networks,LH,SomMot,44,-27.39950215144817,-47.83508063506599,64.31120717273367,0.04013961605584642,0.002218629208680755,0.047894940980913736,0.28949406987926063
76,7Networks_LH_SomMot_45,7Networks,LH,SomMot,45,-30.234921709208933,-35.710243342191355,70.90582686336137,0.06631762652705062,0.002671070378205478,0.08872159847455023,0.2953329222971247
77,7Networks_LH_SomMot_46,7Networks,LH,SomMot,46,-20.7046804226935,-11.85699480362237,70.5240777268385,0.09598603839441536,0.005180157734655655,0.012135679275807401,0.3345075177381582
78,7Networks_LH_SomMot_47,7Networks,LH,SomMot,47,-18.79745582525813,-24.12784635148539,67.6174632462478,0.022687609075043632,0.0006385809620505505,0.0027380563993304064,0.29079224956481786
79,7Networks_LH_SomMot_48,7Networks,LH,SomMot,48,-8.50117379891364,-41.91077097314891,70.3809487473537,0.03315881326352531,0.0004543821136789099,0.03460345899790589,0.2887574437472523
80,7Networks_LH_SomMot_49,7Networks,LH,SomMot,49,-22.38882078454722,-37.905080744739394,71.14217106084139,0.045375218150087264,0.0063230271876449345,0.0358449264163083,0.3079556998444238
