Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851142,-44.8448841968708,-14.951325505136328
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,-17.159936760338734
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.592008006731874,-41.29417978183737,-10.283588881052815
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,-16.019288191112917
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,-9.040379783276144
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,-9.434564102792812
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,-9.508002667998277
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,-7.617111413259501
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,-6.07261795439382
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,-10.956274038363318
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,-3.850471242978159
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,-4.926925785677589
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.864279034387579,-42.05212429775433,-5.040219351461133
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,4.617957248606466
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,3.311666794729476
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.2588753551244594,-70.33466412094624,4.373678718410112
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.8407680270005784
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,3.787149524937078
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.948963694547004,2.033492100084338
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,8.505568971830819
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,13.999918275597423
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,7.686497854878716
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,17.519117863095822
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,14.103267398197204
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,16.381487851250256
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,17.117907884446055
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,23.682699170495795
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,20.90716652971294
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.608688533332739,-74.19501421015177,24.148720730787943
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-25.24382139625959,-75.4110830067657,23.974533945554867
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-13.687926555182344,-76.716895988341,35.198602786850785
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,-53.50563101175291,0.05999625184371382,-3.4940602258736817
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-58.11317137737953,-14.814716531890774,5.868688169554915
34,7Networks_LH_SomMot_3,7Networks,LH,SomMot,3,-42.93124349803733,-19.389491932920933,3.3533213062484464
35,7Networks_LH_SomMot_4,7Networks,LH,SomMot,4,-60.11431315472214,-24.956771544130838,9.374658421045403
36,7Networks_LH_SomMot_5,7Networks,LH,SomMot,5,-62.63136623164925,-34.63597309215108,6.836208978641622
37,7Networks_LH_SomMot_6,7Networks,LH,SomMot,6,-45.85676398288393,-25.62106247834469,7.116980146943476
38,7Networks_LH_SomMot_7,7Networks,LH,SomMot,7,-36.23862536517636,-12.084997209815356,12.924177537235067
39,7Networks_LH_SomMot_8,7Networks,LH,SomMot,8,-34.681706958722614,-25.117930897000512,12.804337318929342
40,7Networks_LH_SomMot_9,7Networks,LH,SomMot,9,-43.332921210009204,-3.867150064057384,13.453046629900363
41,7Networks_LH_SomMot_10,7Networks,LH,SomMot,10,-39.856755385732214,-13.31806397199938,17.750479200720477
42,7Networks_LH_SomMot_11,7Networks,LH,SomMot,11,-58.25094903600984,-36.77517483668635,15.320604661799734
43,7Networks_LH_SomMot_12,7Networks,LH,SomMot,12,-40.94175139461902,-35.0574966356396,14.861894334824953
44,7Networks_LH_SomMot_13,7Networks,LH,SomMot,13,-38.02614526327537,-25.538504349731873,19.64502053516715
45,7Networks_LH_SomMot_14,7Networks,LH,SomMot,14,-51.19383481762759,-13.378690642409211,13.838255623164706
46,7Networks_LH_SomMot_15,7Networks,LH,SomMot,15,-58.84259728425923,1.2076340635516232,12.351409745079522
47,7Networks_LH_SomMot_16,7Networks,LH,SomMot,16,-61.715471813069286,-7.392652066441258,11.085877513831797
48,7Networks_LH_SomMot_17,7Networks,LH,SomMot,17,-47.91049349365014,-25.646590728984506,17.283088451526204
49,7Networks_LH_SomMot_18,7Networks,LH,SomMot,18,-60.77488605294593,-17.982055469777656,19.543583212288866
50,7Networks_LH_SomMot_19,7Networks,LH,SomMot,19,-59.28309575544441,-3.5016854428788093,19.720027243704905
51,7Networks_LH_SomMot_20,7Networks,LH,SomMot,20,-63.84509245929033,-9.88425965749353,26.10966905732532
52,7Networks_LH_SomMot_21,7Networks,LH,SomMot,21,-55.22076715478349,-9.335683729783028,31.691469204672813
53,7Networks_LH_SomMot_22,7Networks,LH,SomMot,22,-53.45697393464059,-4.06940361533475,33.53988873318809
54,7Networks_LH_SomMot_23,7Networks,LH,SomMot,23,-57.55928873841961,-15.04738494434526,39.905341925542984
55,7Networks_LH_SomMot_24,7Networks,LH,SomMot,24,-49.934586239919554,-15.220464560720657,40.67324815051896
56,7Networks_LH_SomMot_25,7Networks,LH,SomMot,25,-55.378451818963185,-20.50767875114432,46.92897930697768
57,7Networks_LH_SomMot_26,7Networks,LH,SomMot,26,-7.553707777820279,-8.345986633023017,41.331582422184496
58,7Networks_LH_SomMot_27,7Networks,LH,SomMot,27,-51.63516991212964,-3.749993004258087,47.46624214027142
59,7Networks_LH_SomMot_28,7Networks,LH,SomMot,28,-41.658334465091485,-17.32679512971137,39.05891143234379
60,7Networks_LH_SomMot_29,7Networks,LH,SomMot,29,-47.37449258858746,-17.514802201068335,51.91519264649739
61,7Networks_LH_SomMot_30,7Networks,LH,SomMot,30,-50.756283802816114,-26.617649467375415,54.34701075125486
62,7Networks_LH_SomMot_31,7Networks,LH,SomMot,31,-41.43955111995871,-13.325473226429452,49.63622271424779
63,7Networks_LH_SomMot_32,7Networks,LH,SomMot,32,-6.068687679590525,-14.928378748567134,49.23834609477589
64,7Networks_LH_SomMot_33,7Networks,LH,SomMot,33,-44.709433618632545,-23.050140291091893,63.01366575837376
65,7Networks_LH_SomMot_34,7Networks,LH,SomMot,34,-39.68108077558267,-24.602939075798588,52.232002467081884
66,7Networks_LH_SomMot_35,7Networks,LH,SomMot,35,-40.57082986738101,-35.44087287052426,62.66861974522472
