Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,-14.951325505136328,0.1343804537521815,0.00443532138722676,0.10867149660864343,0.33565689278342425
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,-17.159936760338734,0.010471204188481676,0.0,0.0077409044595834284,0.2574365156553627
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,-10.283588881052816,0.14485165794066318,0.007911679949048766,0.11010212341851883,0.3454260113047329
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,-16.019288191112917,0.0017452006980802793,0.0,1.731751434402452e-18,0.0031413612565445027
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,-9.040379783276144,0.03315881326352531,0.01058733491686852,0.00543301634390717,0.3110691230835632
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,-9.434564102792812,0.006980802792321117,3.735411146999409e-06,0.0037984462738768405,0.2454246315738823
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,-9.508002667998277,0.0,0.0,1.2697614341876267e-23,0.0
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,-7.617111413259501,0.05235602094240838,0.0077300379371412755,0.02387752020610981,0.3245938675654572
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,-6.07261795439382,0.0,0.0,1.2697614341876267e-23,0.0
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,-10.956274038363318,0.029668411867364748,0.0017539675950711234,0.012339345693810545,0.2951982494568508
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,-3.850471242978159,0.041884816753926704,0.02121151049228895,0.0029143442357166005,0.30332297191896596
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,-4.926925785677589,0.0017452006980802793,0.0,5.200942834432519e-20,0.0017452006980802793
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,-5.040219351461133,0.07504363001745201,0.00663641845932499,0.016778695251845707,0.31660113211240903
