id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-44.8448841968708,-14.951325505136328,0.0924956369982548,0.0013576804434527,0.0828496895160956,0.3120049796046724,Visual cortex,Visual
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-58.54877337810902,-17.159936760338734,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-41.29417978183737,-10.283588881052816,0.1256544502617801,0.011364086589415,0.1007174302071097,0.3483147860424564,Visual cortex,Visual
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-71.54814272449501,-16.019288191112917,0.0017452006980802,0.0,8.71325295123075e-21,0.0031413612565445,Visual cortex,Visual
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-58.32235354225107,-9.040379783276144,0.0488656195462478,0.0107094386413088,0.005445211081373,0.3148179471142562,Visual cortex,Visual
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-71.17410359499664,-9.434564102792812,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-73.76627976323168,-9.508002667998277,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-49.360116829922106,-7.617111413259501,0.0732984293193717,0.0067142938553392,0.0264088024553422,0.3398399737299878,Visual cortex,Visual
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-69.67436757364973,-6.07261795439382,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-37.02206871249512,-10.956274038363318,0.0732984293193717,0.0094883225348703,0.0439517402236985,0.3344155527606345,Visual cortex,Visual
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-61.23231393073575,-3.850471242978159,0.0785340314136125,0.0389759812176388,0.0074898479415206,0.3338826196088247,Visual cortex,Visual
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-72.5062209590344,-4.926925785677589,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
