id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,0.0924956369982548,0.0013576804434527,0.0828496895160956,0.3120049796046724,Visual cortex,Visual
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,0.1256544502617801,0.011364086589415,0.1007174302071097,0.3483147860424564,Visual cortex,Visual
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,0.0017452006980802,0.0,8.71325295123075e-21,0.0031413612565445,Visual cortex,Visual
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,0.0488656195462478,0.0107094386413088,0.005445211081373,0.3148179471142562,Visual cortex,Visual
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,0.0732984293193717,0.0067142938553392,0.0264088024553422,0.3398399737299878,Visual cortex,Visual
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,0.0732984293193717,0.0094883225348703,0.0439517402236985,0.3344155527606345,Visual cortex,Visual
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,0.0785340314136125,0.0389759812176388,0.0074898479415206,0.3338826196088247,Visual cortex,Visual
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,0.019197207678883,0.0033363627298847,0.0013658805575295,0.2797214202997831,Visual cortex,Visual
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,0.0122164048865619,0.0017302383112548,0.0075813548623183,0.2613990565246881,Visual cortex,Visual
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,0.0366492146596858,0.0020842872835042,0.0236341091124266,0.3129370333152166,Visual cortex,Visual
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.25887535512446,-70.33466412094624,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.0122164048865619,0.0003665568503378,0.0006066195588625,0.2548799802974909,Visual cortex,Visual
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.94896369454701,0.019197207678883,0.0008386106379288,0.0041341939678243,0.2817906439872731,Visual cortex,Visual
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,0.0296684118673647,0.0034371721154329,0.0134796707518656,0.2802827341866722,Visual cortex,Visual
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,0.0139616055846422,0.001636567808842,0.0007921766981007,0.2480892170568828,Visual cortex,Visual
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,0.0017452006980802,0.0,0.0015224899980328,0.2322742170782012,Visual cortex,Visual
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,0.0331588132635253,4.263897104946516e-05,0.0364358947268668,0.2712120955398544,Visual cortex,Visual
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,0.0244328097731239,0.0029491882979817,0.0082152538708805,0.2648689555051043,Visual cortex,Visual
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,0.0122164048865619,0.0008711906761952,0.0021040616483603,0.2492698914985574,Visual cortex,Visual
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,0.0,0.0,8.559322102538697e-27,0.0,Visual cortex,Visual
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,0.0209424083769633,0.0004462147947717,0.0031925525718858,0.2831234375736994,Visual cortex,Visual
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.60868853333274,-74.19501421015177,0.1326352530541012,0.0040400975148002,0.1139462817218971,0.3201090050489496,Visual cortex,Visual
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-25.24382139625959,-75.4110830067657,0.0698080279232111,0.0011284052037624,0.0688000159464952,0.2986619298710442,Visual cortex,Visual
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-13.687926555182344,-76.716895988341,0.0226876090750436,0.0013521180512488,0.0005267190156951,0.2638681911895938,Visual cortex,Visual
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,-53.50563101175291,0.0599962518437138,0.0174520069808027,0.0028351359483504,5.393685779846432e-06,0.2205382566363553,Somatomotor network,Somatomotor
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-58.11317137737953,-14.814716531890774,0.0244328097731239,0.0103980930552374,0.0001597880650923,0.2584964143177514,Somatomotor network,Somatomotor
34,7Networks_LH_SomMot_3,7Networks,LH,SomMot,3,-42.93124349803733,-19.389491932920933,0.019197207678883,0.0019344036014898,0.0024065776501366,0.2745889171750164,Somatomotor network,Somatomotor
35,7Networks_LH_SomMot_4,7Networks,LH,SomMot,4,-60.11431315472214,-24.95677154413084,0.0034904013961605,0.0,4.0938972277457396e-20,0.0034904013961605,Somatomotor network,Somatomotor
36,7Networks_LH_SomMot_5,7Networks,LH,SomMot,5,-62.63136623164925,-34.63597309215108,0.0034904013961605,0.0,4.0938972277457396e-20,0.0034904013961605,Somatomotor network,Somatomotor
