id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-44.8448841968708,-14.951325505136328,0.0471204188481675,0.0025860215938875,0.0349047789932278,0.293234303340233,Visual cortex,Visual
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-58.54877337810902,-17.159936760338734,0.0034904013961605,0.0,0.0022737048151685,0.2345874426721864,Visual cortex,Visual
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-41.29417978183737,-10.283588881052816,0.0959860383944153,0.0120156592725155,0.0919215041359722,0.3438838648262732,Visual cortex,Visual
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-71.54814272449501,-16.019288191112917,0.0017452006980802,0.0,2.3164696457315218e-29,0.0031413612565445,Visual cortex,Visual
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-58.32235354225107,-9.040379783276144,0.0506108202443281,0.006089818575827,0.0003785299503853,0.287841916024528,Visual cortex,Visual
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-71.17410359499664,-9.434564102792812,0.0,0.0,4.015066461927392e-40,0.0,Visual cortex,Visual
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-73.76627976323168,-9.508002667998277,0.0,0.0,4.015066461927392e-40,0.0,Visual cortex,Visual
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-49.360116829922106,-7.617111413259501,0.0349040139616055,0.0081121388842869,0.0052905335286788,0.3367408765361133,Visual cortex,Visual
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-69.67436757364973,-6.07261795439382,0.0017452006980802,0.0,0.0001933468044525,0.1991780173631771,Visual cortex,Visual
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-37.02206871249512,-10.956274038363318,0.0663176265270506,0.0115857399348179,0.0192599503053083,0.3332795165717185,Visual cortex,Visual
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-61.23231393073575,-3.850471242978159,0.0610820244328097,0.0187233298961124,0.0005072912000715,0.3056745465122428,Visual cortex,Visual
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-72.5062209590344,-4.926925785677589,0.0,0.0,4.015066461927392e-40,0.0,Visual cortex,Visual
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-42.05212429775433,-5.040219351461133,0.0418848167539267,0.0027241822139549,0.0126745632737067,0.3221623148124064,Visual cortex,Visual
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-72.01780786676841,4.617957248606466,0.0174520069808027,0.0035546121109714,0.0104972285368563,0.2564557635992546,Visual cortex,Visual
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-61.931462337472,3.311666794729476,0.0087260034904013,0.0045149961320704,0.0017647043227771,0.275775638864326,Visual cortex,Visual
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-70.33466412094624,4.373678718410112,0.0,0.0,4.015066461927392e-40,0.0,Visual cortex,Visual
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-55.01371005292507,0.8407680270005784,0.0157068062827225,0.0005135351592766,0.001216720502638,0.2831732386591894,Visual cortex,Visual
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-76.2814865981539,3.787149524937078,0.0,0.0,4.015066461927392e-40,0.0,Visual cortex,Visual
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-45.94896369454701,2.033492100084338,0.0261780104712041,0.0050621648272952,0.0017874160385449,0.3069146055244629,Visual cortex,Visual
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-70.64779695155366,8.505568971830819,0.0349040139616055,0.0024931407165846,0.0184235429629058,0.288573872581488,Visual cortex,Visual
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-71.36289164202682,13.999918275597423,0.0122164048865619,0.0005435529590706,0.0042796129532148,0.2623853766304512,Visual cortex,Visual
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-62.332047666900834,7.686497854878716,0.0488656195462478,0.0101167704353954,0.0151250524572456,0.315008120451548,Visual cortex,Visual
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-74.55352894961834,17.519117863095822,0.0174520069808027,0.0032554095608792,0.0082842309237406,0.2754409596909469,Visual cortex,Visual
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-73.46269837052871,14.103267398197204,0.0488656195462478,4.9168518446589534e-05,0.0627993560690825,0.2891252876246373,Visual cortex,Visual
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-68.15640180831885,16.381487851250256,0.0488656195462478,0.0037596563814018,0.0278965402511044,0.2972669951346959,Visual cortex,Visual
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-66.04660263057653,17.117907884446055,0.0453752181500872,0.0031965600896125,0.0184577896397359,0.3235400581401857,Visual cortex,Visual
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-75.19926271743172,23.682699170495795,0.0017452006980802,0.0,1.6840409321527906e-33,0.0017452006980802,Visual cortex,Visual
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-75.36198903779898,20.90716652971294,0.0157068062827225,9.654671321749504e-05,0.0001882259857674,0.2505114247078811,Visual cortex,Visual
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-74.19501421015177,24.148720730787943,0.0959860383944153,0.0017999905655682,0.0969531515838563,0.3073301974073667,Visual cortex,Visual
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-75.4110830067657,23.974533945554867,0.0069808027923211,0.0003861314468625,0.0007212785607133,0.258647693202667,Visual cortex,Visual
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-76.716895988341,35.198602786850785,0.031413612565445,0.0010449361720379,7.01390072890246e-05,0.2519016101946063,Visual cortex,Visual
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,0.0599962518437138,-3.4940602258736817,0.0174520069808027,0.0001543030521382,8.395900209099687e-06,0.2286784390784285,Somatomotor network,Somatomotor
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-14.814716531890774,5.868688169554915,0.0349040139616055,0.0067626209745701,0.0015273238462256,0.2943752928473934,Somatomotor network,Somatomotor
34,7Networks_LH_SomMot_3,7Networks,LH,SomMot,3,-19.389491932920933,3.3533213062484464,0.06282722513089,0.0059755505712767,0.0225423427343132,0.3244651190641033,Somatomotor network,Somatomotor
35,7Networks_LH_SomMot_4,7Networks,LH,SomMot,4,-24.95677154413084,9.374658421045403,0.0052356020942408,0.0003069896942855,1.888494463826499e-07,0.1839249195991412,Somatomotor network,Somatomotor
36,7Networks_LH_SomMot_5,7Networks,LH,SomMot,5,-34.63597309215108,6.836208978641622,0.0052356020942408,0.0049711236743219,7.505719848598634e-06,0.2139145624744018,Somatomotor network,Somatomotor
37,7Networks_LH_SomMot_6,7Networks,LH,SomMot,6,-25.62106247834469,7.116980146943476,0.0872600349040139,0.0124018671160859,0.0229376601279695,0.348370454006662,Somatomotor network,Somatomotor
38,7Networks_LH_SomMot_7,7Networks,LH,SomMot,7,-12.084997209815356,12.924177537235067,0.0017452006980802,0.0,6.786685776586922e-10,0.1418520942408377,Somatomotor network,Somatomotor
39,7Networks_LH_SomMot_8,7Networks,LH,SomMot,8,-25.117930897000512,12.804337318929342,0.0855148342059336,0.0116719277607941,0.0244627110008768,0.3543533970106796,Somatomotor network,Somatomotor
40,7Networks_LH_SomMot_9,7Networks,LH,SomMot,9,-3.867150064057384,13.453046629900363,0.0,0.0,4.015066461927392e-40,0.0,Somatomotor network,Somatomotor
41,7Networks_LH_SomMot_10,7Networks,LH,SomMot,10,-13.31806397199938,17.750479200720477,0.0034904013961605,0.0,0.0003427282377829,0.221752174680352,Somatomotor network,Somatomotor
42,7Networks_LH_SomMot_11,7Networks,LH,SomMot,11,-36.77517483668635,15.320604661799734,0.0331588132635253,0.0088653913165793,0.0004070613097019,0.2778009189539049,Somatomotor network,Somatomotor
43,7Networks_LH_SomMot_12,7Networks,LH,SomMot,12,-35.0574966356396,14.861894334824951,0.0541012216404886,0.0024632818952624,0.0248764575057656,0.335496453489047,Somatomotor network,Somatomotor
44,7Networks_LH_SomMot_13,7Networks,LH,SomMot,13,-25.53850434973188,19.64502053516715,0.0157068062827225,0.0012364784564285,0.0048672093488112,0.2826442724599506,Somatomotor network,Somatomotor
45,7Networks_LH_SomMot_14,7Networks,LH,SomMot,14,-13.378690642409213,13.838255623164706,0.0174520069808027,0.0012050487796414,0.0028203219130757,0.281942050665019,Somatomotor network,Somatomotor
46,7Networks_LH_SomMot_15,7Networks,LH,SomMot,15,1.2076340635516232,12.351409745079522,0.0331588132635253,0.0023737336333059,0.0027195495966921,0.3058805266648791,Somatomotor network,Somatomotor
47,7Networks_LH_SomMot_16,7Networks,LH,SomMot,16,-7.392652066441258,11.085877513831797,0.031413612565445,0.0030406629025389,0.0017628817816843,0.2949491238276027,Somatomotor network,Somatomotor
48,7Networks_LH_SomMot_17,7Networks,LH,SomMot,17,-25.646590728984503,17.283088451526204,0.0732984293193717,0.0035892664723205,0.0353087350349827,0.3327908369286515,Somatomotor network,Somatomotor
49,7Networks_LH_SomMot_18,7Networks,LH,SomMot,18,-17.982055469777656,19.543583212288866,0.0383944153577661,0.00457696750665,0.0075338946628762,0.3172094350598746,Somatomotor network,Somatomotor
50,7Networks_LH_SomMot_19,7Networks,LH,SomMot,19,-3.5016854428788093,19.720027243704905,0.0104712041884816,0.000289992338435,0.0002502111163849,0.2502352268857115,Somatomotor network,Somatomotor
51,7Networks_LH_SomMot_20,7Networks,LH,SomMot,20,-9.88425965749353,26.10966905732532,0.0052356020942408,0.0,0.0001892633188559,0.2364201570680628,Somatomotor network,Somatomotor
52,7Networks_LH_SomMot_21,7Networks,LH,SomMot,21,-9.335683729783028,31.691469204672813,0.0209424083769633,0.0016397131824447,0.0024890844525526,0.2788247552645458,Somatomotor network,Somatomotor
53,7Networks_LH_SomMot_22,7Networks,LH,SomMot,22,-4.06940361533475,33.53988873318809,0.0523560209424083,0.0022180551386719,0.0079485578032783,0.3230795028972816,Somatomotor network,Somatomotor
