id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-44.8448841968708,-14.951325505136328,0.1099476439790576,0.0089465492060172,0.1124425740508352,0.3582567672651188,Visual cortex,Visual
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-58.54877337810902,-17.159936760338734,0.0034904013961605,0.0,0.0039207020549297,0.2599397112486117,Visual cortex,Visual
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-41.29417978183737,-10.283588881052816,0.1239092495636998,0.0177605436829383,0.1079146358896437,0.3818813787959572,Visual cortex,Visual
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-71.54814272449501,-16.019288191112917,0.0017452006980802,0.0,3.361162023116227e-26,0.0031413612565445,Visual cortex,Visual
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-58.32235354225107,-9.040379783276144,0.0523560209424083,0.0071529692418953,0.0018972502342751,0.3228608975282687,Visual cortex,Visual
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-71.17410359499664,-9.434564102792812,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-73.76627976323168,-9.508002667998277,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-49.360116829922106,-7.617111413259501,0.0855148342059336,0.0155364307333045,0.0281110184011725,0.3762285294387801,Visual cortex,Visual
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-69.67436757364973,-6.07261795439382,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-37.02206871249512,-10.956274038363318,0.0331588132635253,0.0004928127623376,0.0277067355958694,0.3095357860605932,Visual cortex,Visual
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-61.23231393073575,-3.850471242978159,0.0767888307155322,0.0291069630769822,0.002625781386133,0.3332074958467274,Visual cortex,Visual
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-72.5062209590344,-4.926925785677589,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-42.05212429775433,-5.040219351461133,0.1082024432809773,0.0131943531871484,0.0576160828888535,0.3743812535168222,Visual cortex,Visual
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-72.01780786676841,4.617957248606466,0.0139616055846422,0.0018806047398448,0.0069945429839685,0.2395255977997679,Visual cortex,Visual
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-61.931462337472,3.311666794729476,0.0418848167539267,0.008471739591962,0.0152434777437249,0.3368879910144011,Visual cortex,Visual
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-70.33466412094624,4.373678718410112,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-55.01371005292507,0.8407680270005784,0.0209424083769633,0.0001173243519002,0.0043579898993528,0.2888219013873464,Visual cortex,Visual
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-76.2814865981539,3.787149524937078,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-45.94896369454701,2.033492100084338,0.075043630017452,0.0032747569099376,0.0214116424812043,0.3476397354084777,Visual cortex,Visual
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-70.64779695155366,8.505568971830819,0.0785340314136125,0.0024921957671806,0.0752940801693444,0.3315173128967802,Visual cortex,Visual
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-71.36289164202682,13.999918275597423,0.0034904013961605,0.0,7.755513580811407e-05,0.2113135758880169,Visual cortex,Visual
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-62.332047666900834,7.686497854878716,0.0488656195462478,0.0041127370601446,0.0215349360055647,0.3157307741874097,Visual cortex,Visual
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-74.55352894961834,17.519117863095822,0.0104712041884816,0.0009603266808584,0.0017219983313262,0.23704346725262,Visual cortex,Visual
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-73.46269837052871,14.103267398197204,0.0523560209424083,0.0003655690606458,0.060459797329795,0.3003899486523681,Visual cortex,Visual
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-68.15640180831885,16.381487851250256,0.1047120418848167,0.0067246870871299,0.1001430707526293,0.3500335820945346,Visual cortex,Visual
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-66.04660263057653,17.117907884446055,0.0471204188481675,0.0005643134041683,0.0219450497886383,0.3303204994928207,Visual cortex,Visual
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-75.19926271743172,23.682699170495795,0.0,0.0,5.8546075797256246e-36,0.0,Visual cortex,Visual
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-75.36198903779898,20.90716652971294,0.0122164048865619,0.0011373059344911,0.0004128078660069,0.2737844953905187,Visual cortex,Visual
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-74.19501421015177,24.148720730787943,0.1029668411867364,0.004788530916154,0.1076056547450569,0.3197022304664966,Visual cortex,Visual
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-75.4110830067657,23.974533945554867,0.0104712041884816,0.0011791634321391,0.0087969757587875,0.2771010852801676,Visual cortex,Visual
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-76.716895988341,35.198602786850785,0.0244328097731239,0.0002839891910004,0.0002127490970926,0.2594973861585687,Visual cortex,Visual
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,0.0599962518437138,-3.4940602258736817,0.031413612565445,0.0048515045741355,0.000183380936834,0.2673839227338145,Somatomotor network,Somatomotor
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-14.814716531890774,5.868688169554915,0.0122164048865619,0.0028987629881383,0.0012644636679517,0.2915831050334969,Somatomotor network,Somatomotor
34,7Networks_LH_SomMot_3,7Networks,LH,SomMot,3,-19.389491932920933,3.3533213062484464,0.0122164048865619,0.0033866781882169,0.0021560309345215,0.2703864608732604,Somatomotor network,Somatomotor
35,7Networks_LH_SomMot_4,7Networks,LH,SomMot,4,-24.95677154413084,9.374658421045403,0.0122164048865619,0.0012134154604825,0.0001236490995553,0.2534592198324414,Somatomotor network,Somatomotor
36,7Networks_LH_SomMot_5,7Networks,LH,SomMot,5,-34.63597309215108,6.836208978641622,0.0139616055846422,0.0010089091741387,0.0003227246096407,0.2573081506172985,Somatomotor network,Somatomotor
37,7Networks_LH_SomMot_6,7Networks,LH,SomMot,6,-25.62106247834469,7.116980146943476,0.0401396160558464,0.0029805377994424,0.016429775049116,0.3203738738078128,Somatomotor network,Somatomotor
38,7Networks_LH_SomMot_7,7Networks,LH,SomMot,7,-12.084997209815356,12.924177537235067,0.0,0.0,5.8546075797256246e-36,0.0,Somatomotor network,Somatomotor
39,7Networks_LH_SomMot_8,7Networks,LH,SomMot,8,-25.117930897000512,12.804337318929342,0.0767888307155322,0.0035006749219784,0.0370562972050217,0.3479041002262789,Somatomotor network,Somatomotor
40,7Networks_LH_SomMot_9,7Networks,LH,SomMot,9,-3.867150064057384,13.453046629900363,0.0017452006980802,0.0,0.0007600464855099,0.2329398634407111,Somatomotor network,Somatomotor
41,7Networks_LH_SomMot_10,7Networks,LH,SomMot,10,-13.31806397199938,17.750479200720477,0.0034904013961605,0.0,0.0003894345992439,0.2262581067248055,Somatomotor network,Somatomotor
42,7Networks_LH_SomMot_11,7Networks,LH,SomMot,11,-36.77517483668635,15.320604661799734,0.0436300174520069,0.0113480133387841,0.0033687566702653,0.32701493337924,Somatomotor network,Somatomotor
43,7Networks_LH_SomMot_12,7Networks,LH,SomMot,12,-35.0574966356396,14.861894334824951,0.0279232111692844,0.0028800595711417,0.0136725264591347,0.3074555724445946,Somatomotor network,Somatomotor
44,7Networks_LH_SomMot_13,7Networks,LH,SomMot,13,-25.53850434973188,19.64502053516715,0.0087260034904013,0.0001490280591376,0.0007335451236817,0.2352153685334481,Somatomotor network,Somatomotor
45,7Networks_LH_SomMot_14,7Networks,LH,SomMot,14,-13.378690642409213,13.838255623164706,0.0349040139616055,0.0031174225036901,0.0078747976663269,0.3017769734812379,Somatomotor network,Somatomotor
46,7Networks_LH_SomMot_15,7Networks,LH,SomMot,15,1.2076340635516232,12.351409745079522,0.0209424083769633,0.0006266742799601,0.0028478433215719,0.2906568562881555,Somatomotor network,Somatomotor
47,7Networks_LH_SomMot_16,7Networks,LH,SomMot,16,-7.392652066441258,11.085877513831797,0.0157068062827225,0.0008685409716209,0.0036971183797711,0.2966886457831107,Somatomotor network,Somatomotor
48,7Networks_LH_SomMot_17,7Networks,LH,SomMot,17,-25.646590728984503,17.283088451526204,0.0139616055846422,0.0006761869098371,0.0013821221191199,0.2810159040525533,Somatomotor network,Somatomotor
49,7Networks_LH_SomMot_18,7Networks,LH,SomMot,18,-17.982055469777656,19.543583212288866,0.0366492146596858,0.0013643860730188,0.0127070698548004,0.3054031320410926,Somatomotor network,Somatomotor
50,7Networks_LH_SomMot_19,7Networks,LH,SomMot,19,-3.5016854428788093,19.720027243704905,0.0418848167539267,0.0029624243941653,0.0181237519251021,0.3281878707299546,Somatomotor network,Somatomotor
51,7Networks_LH_SomMot_20,7Networks,LH,SomMot,20,-9.88425965749353,26.10966905732532,0.0174520069808027,0.0009152175658366,0.0016272000307317,0.2861125026876527,Somatomotor network,Somatomotor
52,7Networks_LH_SomMot_21,7Networks,LH,SomMot,21,-9.335683729783028,31.691469204672813,0.0401396160558464,0.0020972415369553,0.0068196202113115,0.3237748703450507,Somatomotor network,Somatomotor
53,7Networks_LH_SomMot_22,7Networks,LH,SomMot,22,-4.06940361533475,33.53988873318809,0.0139616055846422,0.0011520967317592,0.0008912819970052,0.28486543698478,Somatomotor network,Somatomotor
54,7Networks_LH_SomMot_23,7Networks,LH,SomMot,23,-15.04738494434526,39.90534192554298,0.0279232111692844,0.0017293017946529,0.0017681200075111,0.3091174944578086,Somatomotor network,Somatomotor
55,7Networks_LH_SomMot_24,7Networks,LH,SomMot,24,-15.220464560720655,40.67324815051896,0.0331588132635253,0.0019726753104504,0.0060285781232146,0.3003899486523681,Somatomotor network,Somatomotor
56,7Networks_LH_SomMot_25,7Networks,LH,SomMot,25,-20.50767875114432,46.92897930697768,0.0069808027923211,1.9360850834342323e-05,0.0003596730565484,0.2419322537268941,Somatomotor network,Somatomotor
57,7Networks_LH_SomMot_26,7Networks,LH,SomMot,26,-8.345986633023017,41.331582422184496,0.0017452006980802,0.0,0.0002244799128947,0.2421884022221052,Somatomotor network,Somatomotor
58,7Networks_LH_SomMot_27,7Networks,LH,SomMot,27,-3.749993004258087,47.46624214027142,0.0698080279232111,0.0074885888437908,0.0057234161684102,0.3424355477526622,Somatomotor network,Somatomotor
59,7Networks_LH_SomMot_28,7Networks,LH,SomMot,28,-17.32679512971137,39.05891143234379,0.0052356020942408,0.0,0.0002597081869311,0.2330585286793462,Somatomotor network,Somatomotor
60,7Networks_LH_SomMot_29,7Networks,LH,SomMot,29,-17.514802201068335,51.91519264649739,0.0541012216404886,0.0076330229629161,0.0013109248860665,0.3142128377730472,Somatomotor network,Somatomotor
61,7Networks_LH_SomMot_30,7Networks,LH,SomMot,30,-26.61764946737541,54.34701075125486,0.0244328097731239,0.0017311342973648,0.0048565007863173,0.2899200835218991,Somatomotor network,Somatomotor
62,7Networks_LH_SomMot_31,7Networks,LH,SomMot,31,-13.325473226429452,49.63622271424779,0.0104712041884816,0.0051445054195874,0.0001285603671544,0.2557260434866164,Somatomotor network,Somatomotor
63,7Networks_LH_SomMot_32,7Networks,LH,SomMot,32,-14.928378748567134,49.23834609477589,0.0558464223385689,0.0029956257901819,0.004246038447477,0.3148615910513123,Somatomotor network,Somatomotor
64,7Networks_LH_SomMot_33,7Networks,LH,SomMot,33,-23.050140291091893,63.01366575837376,0.0069808027923211,0.0002747909300382,0.0005150429644463,0.2545875858639714,Somatomotor network,Somatomotor
65,7Networks_LH_SomMot_34,7Networks,LH,SomMot,34,-24.602939075798588,52.23200246708189,0.0104712041884816,0.0078333877674666,0.0004448984272257,0.2666048320498582,Somatomotor network,Somatomotor
66,7Networks_LH_SomMot_35,7Networks,LH,SomMot,35,-35.44087287052426,62.66861974522472,0.0261780104712041,3.338569200848166e-05,0.0213176329511015,0.2871901392326156,Somatomotor network,Somatomotor
67,7Networks_LH_SomMot_36,7Networks,LH,SomMot,36,-45.64802552326856,61.96426024055109,0.0331588132635253,0.0003844613569881,0.0173167212651482,0.2927024259741246,Somatomotor network,Somatomotor
68,7Networks_LH_SomMot_37,7Networks,LH,SomMot,37,-18.27015764961948,62.75649081533061,0.06282722513089,0.0102544860061898,0.0153958806974012,0.3363925674982034,Somatomotor network,Somatomotor
69,7Networks_LH_SomMot_38,7Networks,LH,SomMot,38,-8.021132327896055,60.39850659981511,0.0523560209424083,0.0041180798415064,0.0039475860133389,0.3296065502864241,Somatomotor network,Somatomotor
70,7Networks_LH_SomMot_39,7Networks,LH,SomMot,39,-40.87481476262212,57.29144114658237,0.0244328097731239,0.003273737773897,0.0007418138110284,0.2942082905450525,Somatomotor network,Somatomotor
71,7Networks_LH_SomMot_40,7Networks,LH,SomMot,40,-25.84363784526208,57.972329085501386,0.0558464223385689,0.0026827276963626,0.0176598224666427,0.3421794254282398,Somatomotor network,Somatomotor
72,7Networks_LH_SomMot_41,7Networks,LH,SomMot,41,-11.00501704992432,62.72299852265338,0.0279232111692844,0.0020031952337792,0.0026514529702816,0.3060159811354894,Somatomotor network,Somatomotor
73,7Networks_LH_SomMot_42,7Networks,LH,SomMot,42,-39.97544814231275,58.94188329200202,0.0418848167539267,0.0052127977373539,0.0213890174296973,0.3233172380194747,Somatomotor network,Somatomotor
74,7Networks_LH_SomMot_43,7Networks,LH,SomMot,43,-28.79620827598754,61.90361096248806,0.0401396160558464,0.0066802103706045,0.0077691731049761,0.3127094270659991,Somatomotor network,Somatomotor
75,7Networks_LH_SomMot_44,7Networks,LH,SomMot,44,-47.83508063506599,64.31120717273367,0.0698080279232111,0.0023729689247772,0.0583281641382977,0.3265481026392268,Somatomotor network,Somatomotor
76,7Networks_LH_SomMot_45,7Networks,LH,SomMot,45,-35.710243342191355,70.90582686336137,0.0558464223385689,0.0009944282361661,0.0483333088293374,0.3177040915260811,Somatomotor network,Somatomotor
77,7Networks_LH_SomMot_46,7Networks,LH,SomMot,46,-11.85699480362237,70.5240777268385,0.0645724258289703,0.0045002500532867,0.0056135280161574,0.332722830398223,Somatomotor network,Somatomotor
78,7Networks_LH_SomMot_47,7Networks,LH,SomMot,47,-24.12784635148539,67.6174632462478,0.0401396160558464,0.0030394809251024,0.0042785264950823,0.3185890611403598,Somatomotor network,Somatomotor
79,7Networks_LH_SomMot_48,7Networks,LH,SomMot,48,-41.91077097314891,70.3809487473537,0.0959860383944153,0.0027902373741787,0.102189489634221,0.3341810750895228,Somatomotor network,Somatomotor
80,7Networks_LH_SomMot_49,7Networks,LH,SomMot,49,-37.905080744739394,71.14217106084139,0.0575916230366492,0.0023540726791856,0.039523201645797,0.3249246390607647,Somatomotor network,Somatomotor
81,7Networks_LH_SomMot_50,7Networks,LH,SomMot,50,-30.857869053001583,68.00241017137199,0.0436300174520069,0.01084694732827,0.0118355402219423,0.3358985989703059,Somatomotor network,Somatomotor
82,7Networks_LH_SomMot_51,7Networks,LH,SomMot,51,-30.65155039733009,67.8282495948087,0.0034904013961605,3.7243454809174455e-05,0.0009764190342662,0.2282903651684414,Somatomotor network,Somatomotor
83,7Networks_LH_SomMot_52,7Networks,LH,SomMot,52,-16.459860807129488,72.91768279984697,0.0541012216404886,0.0034036157540291,0.0015777455668709,0.3095357860605932,Somatomotor network,Somatomotor
84,7Networks_LH_SomMot_53,7Networks,LH,SomMot,53,-45.42381681877305,70.97597599802248,0.1012216404886562,0.0019059605083172,0.1090829583106949,0.326781351283969,Somatomotor network,Somatomotor
