id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
1,7Networks_LH_Vis_1,7Networks,LH,Vis,1,-26.045328551851146,-44.8448841968708,0.0663176265270506,0.0079516923781493,0.0405473734554561,0.326083837458946,Visual cortex,Visual
2,7Networks_LH_Vis_2,7Networks,LH,Vis,2,-33.517555334725955,-58.54877337810902,0.0087260034904013,1.2553509594320132e-06,0.0031350293986524,0.2538104563816578,Visual cortex,Visual
3,7Networks_LH_Vis_3,7Networks,LH,Vis,3,-31.59200800673188,-41.29417978183737,0.1029668411867364,0.0337788302824809,0.0800244769826731,0.3590947938436788,Visual cortex,Visual
4,7Networks_LH_Vis_4,7Networks,LH,Vis,4,-37.98163168288875,-71.54814272449501,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
5,7Networks_LH_Vis_5,7Networks,LH,Vis,5,-24.515875705174054,-58.32235354225107,0.094240837696335,0.0159367688986794,0.0030283093432113,0.3198681631378811,Visual cortex,Visual
6,7Networks_LH_Vis_6,7Networks,LH,Vis,6,-23.25299592866149,-71.17410359499664,0.0052356020942408,0.0010918020579563,0.0008851278316632,0.232445484560506,Visual cortex,Visual
7,7Networks_LH_Vis_7,7Networks,LH,Vis,7,-39.66159623861313,-73.76627976323168,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
8,7Networks_LH_Vis_9,7Networks,LH,Vis,9,-20.508521401502705,-49.360116829922106,0.0924956369982548,0.0363686594967546,0.0167128111842132,0.3585046627116432,Visual cortex,Visual
9,7Networks_LH_Vis_10,7Networks,LH,Vis,10,-45.12659668144005,-69.67436757364973,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
10,7Networks_LH_Vis_11,7Networks,LH,Vis,11,-15.159238289603422,-37.02206871249512,0.0279232111692844,0.0006831366743969,0.0210347280491664,0.2874177697760671,Visual cortex,Visual
11,7Networks_LH_Vis_12,7Networks,LH,Vis,12,-11.234485198017524,-61.23231393073575,0.0663176265270506,0.0203917173547587,0.0018918068291397,0.3184672806715838,Visual cortex,Visual
12,7Networks_LH_Vis_13,7Networks,LH,Vis,13,-6.876144870028185,-72.5062209590344,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
13,7Networks_LH_Vis_17,7Networks,LH,Vis,17,-13.86427903438758,-42.05212429775433,0.0767888307155322,0.0095805680895064,0.0299990726927665,0.333308001925187,Visual cortex,Visual
14,7Networks_LH_Vis_18,7Networks,LH,Vis,18,-44.1073151438074,-72.01780786676841,0.019197207678883,0.0038834888230321,0.0194129478731096,0.2481798489875255,Visual cortex,Visual
15,7Networks_LH_Vis_19,7Networks,LH,Vis,19,-6.373891430697881,-61.931462337472,0.0104712041884816,0.011121860356157,0.0064566579287517,0.2870395885000459,Visual cortex,Visual
16,7Networks_LH_Vis_20,7Networks,LH,Vis,20,-2.25887535512446,-70.33466412094624,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
17,7Networks_LH_Vis_21,7Networks,LH,Vis,21,-16.864375003207257,-55.01371005292507,0.0209424083769633,0.0002825865079804,0.0062408672156162,0.2757902493805751,Visual cortex,Visual
18,7Networks_LH_Vis_22,7Networks,LH,Vis,22,-3.021888943389058,-76.2814865981539,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
19,7Networks_LH_Vis_25,7Networks,LH,Vis,25,-12.72952516963025,-45.94896369454701,0.0663176265270506,0.0072246891752164,0.0251596634144271,0.337171695919683,Visual cortex,Visual
20,7Networks_LH_Vis_28,7Networks,LH,Vis,28,-9.070825221456047,-70.64779695155366,0.0453752181500872,0.0027317304705467,0.0295075284560949,0.2862862037533266,Visual cortex,Visual
21,7Networks_LH_Vis_29,7Networks,LH,Vis,29,-47.27439540220482,-71.36289164202682,0.0034904013961605,6.102100342938038e-06,0.0004060900206719,0.1942565336242519,Visual cortex,Visual
22,7Networks_LH_Vis_31,7Networks,LH,Vis,31,-19.61369737184242,-62.332047666900834,0.0418848167539267,0.0041527350721267,0.0187965318210611,0.2889405129271986,Visual cortex,Visual
23,7Networks_LH_Vis_32,7Networks,LH,Vis,32,-41.32478232856127,-74.55352894961834,0.0052356020942408,0.0001579965950768,0.001735075466514,0.2114882086864129,Visual cortex,Visual
24,7Networks_LH_Vis_33,7Networks,LH,Vis,33,-0.34706119610928,-73.46269837052871,0.0139616055846422,4.385452145638644e-06,0.0165595414862609,0.2754420293687309,Visual cortex,Visual
25,7Networks_LH_Vis_37,7Networks,LH,Vis,37,-7.04724255642472,-68.15640180831885,0.0663176265270506,0.0043945541465939,0.0542114086975765,0.3013122752210427,Visual cortex,Visual
26,7Networks_LH_Vis_38,7Networks,LH,Vis,38,-16.72329256446524,-66.04660263057653,0.06282722513089,0.0053549089277337,0.0322673784223013,0.3236648178932268,Visual cortex,Visual
27,7Networks_LH_Vis_39,7Networks,LH,Vis,39,-2.158948509329619,-75.19926271743172,0.0,0.0,1.85048540703831e-41,0.0,Visual cortex,Visual
28,7Networks_LH_Vis_40,7Networks,LH,Vis,40,-29.064816836533808,-75.36198903779898,0.0104712041884816,0.0008314422041204,0.0002686825540991,0.2606333181123476,Visual cortex,Visual
29,7Networks_LH_Vis_41,7Networks,LH,Vis,41,-12.60868853333274,-74.19501421015177,0.1134380453752181,0.0039723921318341,0.1147942065751741,0.2966010703739427,Visual cortex,Visual
30,7Networks_LH_Vis_43,7Networks,LH,Vis,43,-25.24382139625959,-75.4110830067657,0.0087260034904013,0.0010809459680034,0.0064191326391525,0.2686577429310774,Visual cortex,Visual
31,7Networks_LH_Vis_44,7Networks,LH,Vis,44,-13.687926555182344,-76.716895988341,0.0488656195462478,0.0017049594001342,0.0007972255523345,0.2730288951940361,Visual cortex,Visual
32,7Networks_LH_SomMot_1,7Networks,LH,SomMot,1,-53.50563101175291,0.0599962518437138,0.0610820244328097,0.0050348817408465,0.0004625075573724,0.2580131132584682,Somatomotor network,Somatomotor
33,7Networks_LH_SomMot_2,7Networks,LH,SomMot,2,-58.11317137737953,-14.814716531890774,0.0261780104712041,0.0005718795241427,8.278883547705936e-05,0.2295108756023512,Somatomotor network,Somatomotor
34,7Networks_LH_SomMot_3,7Networks,LH,SomMot,3,-42.93124349803733,-19.389491932920933,0.0174520069808027,0.0014909003106896,0.0063126472166811,0.246636616461317,Somatomotor network,Somatomotor
35,7Networks_LH_SomMot_4,7Networks,LH,SomMot,4,-60.11431315472214,-24.95677154413084,0.0069808027923211,0.007086576595415,5.5306181508560285e-06,0.2032138679646342,Somatomotor network,Somatomotor
36,7Networks_LH_SomMot_5,7Networks,LH,SomMot,5,-62.63136623164925,-34.63597309215108,0.0034904013961605,0.0,1.0850991602985629e-07,0.1649528070019167,Somatomotor network,Somatomotor
37,7Networks_LH_SomMot_6,7Networks,LH,SomMot,6,-45.85676398288393,-25.62106247834469,0.0034904013961605,0.0,4.177473297910951e-05,0.2074656084260912,Somatomotor network,Somatomotor
38,7Networks_LH_SomMot_7,7Networks,LH,SomMot,7,-36.23862536517636,-12.084997209815356,0.0,0.0,1.85048540703831e-41,0.0,Somatomotor network,Somatomotor
39,7Networks_LH_SomMot_8,7Networks,LH,SomMot,8,-34.681706958722614,-25.117930897000512,0.075043630017452,0.0065496299776158,0.0287568513849263,0.3231853144593109,Somatomotor network,Somatomotor
40,7Networks_LH_SomMot_9,7Networks,LH,SomMot,9,-43.3329212100092,-3.867150064057384,0.0,0.0,1.85048540703831e-41,0.0,Somatomotor network,Somatomotor
41,7Networks_LH_SomMot_10,7Networks,LH,SomMot,10,-39.85675538573221,-13.31806397199938,0.0034904013961605,0.0,0.0002323453512842,0.2049319748802582,Somatomotor network,Somatomotor
42,7Networks_LH_SomMot_11,7Networks,LH,SomMot,11,-58.25094903600984,-36.77517483668635,0.0418848167539267,0.0139940389959436,0.0120408992573527,0.3198681631378811,Somatomotor network,Somatomotor
43,7Networks_LH_SomMot_12,7Networks,LH,SomMot,12,-40.94175139461902,-35.0574966356396,0.0349040139616055,0.0008787140834172,0.0146478718911331,0.2802184807450673,Somatomotor network,Somatomotor
44,7Networks_LH_SomMot_13,7Networks,LH,SomMot,13,-38.02614526327537,-25.53850434973188,0.019197207678883,0.0021430812745987,0.0086999973135638,0.2666871482396515,Somatomotor network,Somatomotor
45,7Networks_LH_SomMot_14,7Networks,LH,SomMot,14,-51.19383481762759,-13.378690642409213,0.0139616055846422,0.0017874606476497,0.0023274234689743,0.2688232745040479,Somatomotor network,Somatomotor
46,7Networks_LH_SomMot_15,7Networks,LH,SomMot,15,-58.84259728425923,1.2076340635516232,0.0087260034904013,5.180397006711691e-05,2.567674415121452e-05,0.2334404358052808,Somatomotor network,Somatomotor
47,7Networks_LH_SomMot_16,7Networks,LH,SomMot,16,-61.715471813069286,-7.392652066441258,0.0279232111692844,0.0030204476867946,0.0002456325392144,0.2634662889613948,Somatomotor network,Somatomotor
48,7Networks_LH_SomMot_17,7Networks,LH,SomMot,17,-47.91049349365014,-25.646590728984503,0.0331588132635253,0.0028553209130501,0.0061350071476488,0.2978158187850306,Somatomotor network,Somatomotor
49,7Networks_LH_SomMot_18,7Networks,LH,SomMot,18,-60.77488605294593,-17.982055469777656,0.0087260034904013,0.0002778548518277,0.000524552784471,0.2524885269213367,Somatomotor network,Somatomotor
50,7Networks_LH_SomMot_19,7Networks,LH,SomMot,19,-59.28309575544441,-3.5016854428788093,0.0122164048865619,0.0039312567821753,0.0002022936836969,0.2637848697219285,Somatomotor network,Somatomotor
51,7Networks_LH_SomMot_20,7Networks,LH,SomMot,20,-63.84509245929033,-9.88425965749353,0.0244328097731239,0.0074196751890118,0.0042863580560801,0.2877969488918666,Somatomotor network,Somatomotor
52,7Networks_LH_SomMot_21,7Networks,LH,SomMot,21,-55.22076715478349,-9.335683729783028,0.0174520069808027,0.002043826642906,0.0009395450827303,0.2637848697219285,Somatomotor network,Somatomotor
53,7Networks_LH_SomMot_22,7Networks,LH,SomMot,22,-53.45697393464059,-4.06940361533475,0.0,0.0,1.85048540703831e-41,0.0,Somatomotor network,Somatomotor
54,7Networks_LH_SomMot_23,7Networks,LH,SomMot,23,-57.55928873841961,-15.04738494434526,0.0069808027923211,0.0,0.0001363750243729,0.2267672424740487,Somatomotor network,Somatomotor
55,7Networks_LH_SomMot_24,7Networks,LH,SomMot,24,-49.934586239919554,-15.220464560720655,0.0157068062827225,0.0008890513693947,0.0111593021469152,0.2600120229559414,Somatomotor network,Somatomotor
56,7Networks_LH_SomMot_25,7Networks,LH,SomMot,25,-55.37845181896319,-20.50767875114432,0.0052356020942408,0.0001531743911137,0.0009613331918139,0.2526347275738678,Somatomotor network,Somatomotor
57,7Networks_LH_SomMot_26,7Networks,LH,SomMot,26,-7.553707777820279,-8.345986633023017,0.0017452006980802,0.0,0.0001971997217729,0.2136631608815229,Somatomotor network,Somatomotor
58,7Networks_LH_SomMot_27,7Networks,LH,SomMot,27,-51.63516991212964,-3.749993004258087,0.0645724258289703,0.0030131032563578,0.0070690211674775,0.313885017640338,Somatomotor network,Somatomotor
59,7Networks_LH_SomMot_28,7Networks,LH,SomMot,28,-41.658334465091485,-17.32679512971137,0.0069808027923211,0.0,0.0017178566725233,0.2589318543145815,Somatomotor network,Somatomotor
60,7Networks_LH_SomMot_29,7Networks,LH,SomMot,29,-47.37449258858746,-17.514802201068335,0.0802792321116928,0.0093204574016483,0.0015286510246429,0.3006893001516676,Somatomotor network,Somatomotor
61,7Networks_LH_SomMot_30,7Networks,LH,SomMot,30,-50.756283802816114,-26.61764946737541,0.0296684118673647,0.0015718920481457,0.005142024917855,0.2972072033515461,Somatomotor network,Somatomotor
62,7Networks_LH_SomMot_31,7Networks,LH,SomMot,31,-41.43955111995871,-13.325473226429452,0.0174520069808027,0.0065945311060251,8.84585196700977e-05,0.2403857710854379,Somatomotor network,Somatomotor
63,7Networks_LH_SomMot_32,7Networks,LH,SomMot,32,-6.068687679590525,-14.928378748567134,0.0558464223385689,0.0070596458075843,0.0040393913062091,0.3116429818000498,Somatomotor network,Somatomotor
64,7Networks_LH_SomMot_33,7Networks,LH,SomMot,33,-44.70943361863255,-23.050140291091893,0.0069808027923211,4.882012829302389e-07,0.0001008885438667,0.2325693894030223,Somatomotor network,Somatomotor
65,7Networks_LH_SomMot_34,7Networks,LH,SomMot,34,-39.68108077558267,-24.602939075798588,0.0034904013961605,0.003044948071126,1.7062771829931166e-06,0.1887111481488191,Somatomotor network,Somatomotor
66,7Networks_LH_SomMot_35,7Networks,LH,SomMot,35,-40.57082986738101,-35.44087287052426,0.0488656195462478,0.0001296050028275,0.0547733488064274,0.2716688508842278,Somatomotor network,Somatomotor
67,7Networks_LH_SomMot_36,7Networks,LH,SomMot,36,-35.710831709315656,-45.64802552326856,0.06282722513089,0.0008717294481427,0.0557621863448496,0.293409666792246,Somatomotor network,Somatomotor
68,7Networks_LH_SomMot_37,7Networks,LH,SomMot,37,-34.30187929575921,-18.27015764961948,0.0209424083769633,0.0102399831519531,0.0016370415941919,0.2698207634632466,Somatomotor network,Somatomotor
69,7Networks_LH_SomMot_38,7Networks,LH,SomMot,38,-4.0910232282405445,-8.021132327896055,0.0122164048865619,0.0001574686907457,0.0017576451206454,0.2721772766812662,Somatomotor network,Somatomotor
70,7Networks_LH_SomMot_39,7Networks,LH,SomMot,39,-8.489526913091538,-40.87481476262212,0.0715532286212914,0.0118191293391312,0.0022911720523333,0.3006893001516676,Somatomotor network,Somatomotor
71,7Networks_LH_SomMot_40,7Networks,LH,SomMot,40,-3.907903283451717,-25.84363784526208,0.0855148342059336,0.0058922792531684,0.0254083485880936,0.3277987787528699,Somatomotor network,Somatomotor
72,7Networks_LH_SomMot_41,7Networks,LH,SomMot,41,-29.24705897742196,-11.00501704992432,0.0017452006980802,0.0,3.1442147166736976e-05,0.2061910087523959,Somatomotor network,Somatomotor
