source,target,Correlation
421,472,0.9707313774011262
476,478,0.9684689147323162
20,25,0.9592653805436552
474,476,0.9536565377435532
423,474,0.9489662087451072
423,472,0.948149212203858
99,185,0.9459132377143162
474,478,0.94476153099743
29,230,0.93542320412819
252,547,0.933147325284704
416,519,0.9289101328832604
310,518,0.9182144458282576
414,519,0.914562921078099
472,474,0.9142854440807144
123,126,0.9116186167877208
420,472,0.9081654473195712
423,476,0.9064612615405984
420,421,0.9052010594124688
421,519,0.9031255153693089
99,110,0.9023041333849652
404,574,0.9017316058503212
164,167,0.8999573911449243
420,423,0.8997178329965542
276,277,0.8993515912301401
398,566,0.897888622903228
421,423,0.8969595247431335
249,547,0.896626940899022
398,404,0.8952604341268854
423,478,0.8910856847114621
472,476,0.8909212668734173
162,542,0.889195555309067
414,518,0.8888295257520863
249,252,0.8887539050942362
95,182,0.8887204998135669
227,230,0.88836061758034
518,519,0.88692079644467
392,479,0.8868267632840873
566,574,0.8858276070710412
472,519,0.8840652222577962
29,95,0.8825001600458583
95,99,0.8824865651183266
95,313,0.8822343751639606
313,566,0.8818665631009865
313,392,0.8817955033815663
472,478,0.8786277244187823
395,574,0.8750586866350859
570,574,0.8748206425144923
307,310,0.8738985540239534
110,185,0.8712752309482853
5,11,0.8712078454278159
126,237,0.8705173373043535
84,404,0.8702995105664633
108,153,0.8702753997619349
108,574,0.8691224893944954
395,405,0.8688439150577091
392,566,0.8684819656572498
405,574,0.8674408419245201
99,182,0.8672302172748684
313,574,0.8662842013048264
416,421,0.8653175603639992
99,235,0.8646715859856251
416,420,0.8639565066671414
420,519,0.8637556306517338
99,574,0.8628460113799865
183,237,0.8624264851472723
29,306,0.8623350926641812
108,395,0.8622487570930384
129,177,0.861616745247966
95,392,0.861366589633788
75,84,0.8610040610205678
99,403,0.8606648934150056
185,403,0.8595702964736373
95,235,0.8593930912187574
185,574,0.8590618938766703
395,404,0.8589990546793194
276,313,0.8584017352407987
192,247,0.8565216289697066
386,474,0.8562816218377887
418,422,0.8562369857867231
566,570,0.8550295343587911
99,108,0.8547064176962414
392,574,0.8539227924428012
357,478,0.8538223565902842
420,474,0.8533053516056637
180,237,0.8525922397690557
367,373,0.8519709442963931
110,403,0.8491923168060589
