source,target,Correlation
476,478,0.9615675934292736
421,472,0.953667707639528
474,476,0.945380965567117
423,474,0.9377694214048372
472,474,0.9343308842925868
423,472,0.9339918409926848
20,25,0.932734934794061
474,478,0.9327300836986276
414,519,0.9286979564905036
518,519,0.9220865093887614
414,518,0.9173678663693616
392,479,0.9140845931540512
84,395,0.9091680719304605
252,547,0.9086823372501152
84,404,0.9066692736158724
276,277,0.9057512614496476
313,392,0.9053809975983432
386,474,0.9049732827884882
421,519,0.9027971256656608
95,182,0.9020878836444972
95,99,0.9017716678441824
185,392,0.8971264947440596
310,518,0.8964657792689236
395,404,0.8936007945341452
472,476,0.893366843078072
478,479,0.8928353516435827
472,519,0.8924865785444016
313,566,0.8914188355239275
322,535,0.8893978405469929
472,478,0.888689359175559
392,574,0.8883389029964898
5,11,0.8872661385404275
99,110,0.8866196450488337
395,574,0.8865520431048168
29,230,0.8863286742921335
185,574,0.8847006167163356
123,126,0.8842460837683604
313,574,0.8842323793147759
395,405,0.8834644915812144
249,252,0.8832705502595452
84,574,0.8815976102864483
99,185,0.879327497351767
416,519,0.8784767299036103
162,542,0.8765960624096694
404,574,0.874295517625111
249,547,0.8729409334030809
421,423,0.8726714251349916
310,519,0.871689619809849
95,110,0.8711296004295657
476,479,0.8707014694327438
416,478,0.8705586234567829
357,478,0.8700093947318475
357,474,0.8696700812203896
404,405,0.8696688979774211
357,395,0.8696130564097477
420,472,0.8685370521502648
566,574,0.8678970604066937
392,395,0.8678274541549469
420,421,0.8672619499532603
423,476,0.8672011690070125
405,574,0.8666561810681634
108,395,0.8660973206378447
103,107,0.8655840215444238
83,85,0.8646739694799969
182,574,0.8634587109320792
310,414,0.8629257633385878
386,390,0.862656553401381
386,397,0.8626279814120313
129,177,0.8608221080637182
108,182,0.860625581063107
99,182,0.860436766022383
392,476,0.8596771725095093
421,474,0.8593039030250179
423,478,0.8591552897120149
416,476,0.8585209440276602
386,423,0.8581114722835698
185,313,0.8580045656675855
392,474,0.85759382520804
84,405,0.8562574205057292
398,566,0.8560889632305378
398,404,0.8550071732005697
357,476,0.8544914730459885
390,397,0.8544572543370502
474,479,0.8543693215804431
185,566,0.8540298718543888
357,386,0.8535467479949812
126,127,0.8527947419560743
420,474,0.8525835910767952
108,405,0.852437431505656
386,395,0.8521081322317251
261,502,0.8516444453089113
126,179,0.8514074481416098
476,519,0.8506008176785397
183,237,0.8505043533956375
478,519,0.8501690318306342
127,179,0.8489108484888636
479,519,0.8488460611661768
99,108,0.8484397660671579
108,574,0.8483506359004408
79,153,0.8481438632405806
392,404,0.8476981432273097
357,405,0.8476785176508504
392,566,0.8473948566886427
25,307,0.8472737170177514
392,478,0.8466683904429868
182,392,0.8463001305180095
474,519,0.8460916851771161
110,182,0.8454895989567456
390,395,0.8437356222699918
420,423,0.8432048485217503
313,395,0.8420760061290579
357,472,0.8420068451436692
164,167,0.8418185844935115
416,474,0.8417574221594047
547,549,0.841726963757488
95,313,0.8415620401986459
29,95,0.8409856601947333
420,519,0.839949824571721
84,392,0.8398462460823065
99,403,0.839760485081202
472,479,0.8397277062561731
416,472,0.8396357960397699
570,574,0.839529215012612
416,420,0.8395175507952535
313,479,0.8393321519823096
99,574,0.8388594793699823
395,474,0.8382934356886564
392,405,0.8382889405257202
272,274,0.8382826199278584
327,421,0.8381881339802842
310,421,0.8367929044781123
357,397,0.8367267827322099
67,109,0.8365445967545806
418,422,0.8357870282924168
84,357,0.8355948574176977
276,313,0.8339780445341043
421,518,0.8334103472725716
84,185,0.8326819184991282
395,478,0.8326582350726863
386,472,0.8310180982176117
185,395,0.830889626563115
95,392,0.8308427109244626
310,472,0.8307342666451056
182,313,0.8273469764696566
99,405,0.826643167109889
355,358,0.8265969508548495
395,476,0.8264644179290154
357,479,0.825909710593663
421,478,0.8253054954840845
182,405,0.8252534430062052
99,392,0.8252481562711074
416,479,0.8250499021027052
357,404,0.8249593063483285
414,421,0.8240322019576065
185,404,0.8238015183577035
108,404,0.8233188366539996
386,478,0.8232166254560781
405,476,0.8230932745699476
421,476,0.8225595213506631
392,398,0.8222603224763281
153,404,0.8222540355929371
327,414,0.8217105003227481
356,359,0.8201841233288804
418,420,0.8199558038500461
113,400,0.8198524356155111
357,392,0.8198518187451372
99,276,0.8198163586433065
416,421,0.8197555442619622
270,271,0.8196781364697489
307,310,0.8193809160657056
416,535,0.8189276968323451
5,463,0.8187467061343201
99,313,0.8181323392794997
423,519,0.8180100705972847
357,423,0.8175965031460992
95,574,0.8175834434415541
84,108,0.8172664141313417
108,185,0.8168681817297321
306,310,0.8159514302882883
354,361,0.8147819832394686
313,405,0.814296731894823
95,230,0.8138106779896104
566,571,0.8129721630851829
110,405,0.8119961068246461
417,418,0.8112177460981093
306,479,0.8104741628644321
327,418,0.8101795641758677
79,84,0.8096675608513081
406,408,0.8096131378074871
488,541,0.8091701203618914
269,270,0.8086095615054457
386,476,0.8081136030082984
566,570,0.8073455848737873
406,503,0.8069552052826882
108,313,0.8069038806895016
192,247,0.8064170737479527
313,404,0.8060884779035777
310,327,0.8056410537994599
386,392,0.8051345526798069
151,277,0.8042049027511733
398,570,0.8041660166430025
185,283,0.8039334524617621
327,519,0.8038347134713041
95,405,0.8038013721774676
108,392,0.8035314282989651
405,478,0.8031313538609199
313,416,0.8029976605506259
472,518,0.8028485193544982
392,416,0.8026685932589498
414,472,0.8016816563277208
