Region,region_name
Vis,Visual cortex
SomMot,Somatomotor network
DorsAttn_Post,Dorsal attention network
DorsAttn_FEF,Frontal eye fields
DorsAttn_PrCv,Precentral cortex
SalVentAttn_ParOper,Operculum
SalVentAttn_TempOcc,Temporal-occipital lobe
SalVentAttn_FrOperIns,Operculum
SalVentAttn_PFCl,Prefrontal cortex
SalVentAttn_Med,Salience/ventral attention network
Limbic_OFC,Orbitofrontal cortex
Limbic_TempPole,Temporal pole
Cont_Par,Parietal lobe
Cont_Temp,Temporal lobe
Cont_PFCd,Prefrontal cortex
Cont_OFC,Orbitofrontal cortex
Cont_PFCl,Prefrontal cortex
Cont_PFCv,Prefrontal cortex
Cont_pCun,Precuneus
Cont_Cing,Cingulate
Cont_PFCmp,Prefrontal cortex
Default_Temp,Temporal lobe
Default_Par,Parietal lobe
Default_PFC,Prefrontal cortex
Default_pCunPCC,Cingulate
Default_PHC,Parahippocampal cortex
DorsAttn_PrCv,Precentral cortex
SalVentAttn_TempOccPar,Temporal-occipital lobe
SalVentAttn_PrC,Precentral cortex
SalVentAttn_FrOperIns,Frontal operculum
SalVentAttn_PFCl,Prefrontal cortex
SalVentAttn_Med,Salience/ventral attention network
Limbic_OFC,Orbitofrontal cortex
Limbic_TempPole,Temporal pole
Default_PFCv,Prefrontal cortex
Default_PFCdPFCm,Prefrontal cortex
